dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,adopted-date,document-url,documentation-url,local-plan-boundary,local-plan-process,local-planning-authorities,notes,organisation,organisations,period-end-date,period-start-date
local-plan,,4220092,2024-10-21,,,Stroud District Local Plan Review,600001,,local-plan,authoritative,stroud-district-local-plan-review,,legal-instrument,,,https://www.stroud.gov.uk/environment/planning-and-building-control/planning-strategy/stroud-district-local-plan-review,E07000082,,,,,local-authority:STO,2040-01-01,2020-01-01
local-plan,,4220093,2024-10-02,,,Sunderland City Council Core Strategy and Development Plan,600001,,local-plan,authoritative,sunderland-city-council-local-plan-2024,,legal-instrument,2020-01-30,,https://www.sunderland.gov.uk/CSDP,E08000024,,,,,local-authority:SND,2033-01-01,2015-01-01
local-plan,,4220094,2024-10-21,,,Sutton Local Plan (2042),600001,,local-plan,authoritative,sutton-local-plan-2042,,legal-instrument,,,https://www.sutton.gov.uk/w/localplanreview,E09000029,,,,,local-authority:STN,2041-01-01,2024-01-01
local-plan,,4220095,2024-10-21,,,The Barking and Dagenham Local Plan 2037,600001,,local-plan,authoritative,the-barking-and-dagenham-local-plan-2037,,legal-instrument,2024-09-18,,https://www.lbbd.gov.uk/local-plan-review,E09000002,,,,,local-authority:BDG,2037-01-01,2020-01-01
local-plan,,4220096,2024-10-21,,,Birmingham Local Plan,600001,,local-plan,authoritative,the-birmingham-plan-bdp-update,,legal-instrument,2017-01-10,,https://www.birmingham.gov.uk/downloads/download/1139/adopted_birmingham_development_plan,E08000025,,,,,local-authority:BIR,2042-01-01,2011-01-01
local-plan,,4220097,2024-11-25,,,The Castle Point Plan,600001,,local-plan,authoritative,the-castle-point-plan,,legal-instrument,,,https://www.castlepoint.gov.uk/castle-point-plan,E07000069,,,,,local-authority:CAS,2043-01-01,2023-01-01
local-plan,,4220098,2024-10-21,,,The Gateshead Plan 2025-2045,600001,,local-plan,authoritative,the-gateshead-plan-2025-2045,,legal-instrument,,,https://www.gateshead.gov.uk/media/39470/Start-of-the-Conversation-the-Gateshead-Plan/pdf/Start_of_the_Conversation_-_The_Gateshead_Plan_2.pdf?m=1706100430643,E08000037,,,,,local-authority:GAT,2045-01-01,2025-01-01
local-plan,,4220099,2024-10-21,,,Thurrock Local Plan 2040,600001,,local-plan,authoritative,thurrock-local-plan-2040,,legal-instrument,,,https://consult.thurrock.gov.uk/local-plan-initial-proposals,E06000034,,,,,local-authority:THR,2040-01-01,2025-01-01
local-plan,,4220100,2024-10-21,,,Trafford Local Plan,600001,,local-plan,authoritative,trafford-local-plan,,legal-instrument,,,https://www.trafford.gov.uk/planning/strategic-planning/local-plan/trafford-local-plan.aspx,E08000009,,,,,local-authority:TRF,2037-01-01,
local-plan,,4220101,2024-10-21,,,New Local Plan for Tunbridge Wells borough,600001,,local-plan,authoritative,tunbridge-wells-borough-council-new-local-plan,,legal-instrument,,,https://tunbridgewells.gov.uk/planning/planning-policy/local-plan,E07000116,,,,,local-authority:TUN,2038-01-01,2020-01-01
local-plan,,4220102,2024-10-21,,,Wakefield Local Development Plan 2036,600001,,local-plan,authoritative,wakefield-local-development-plan-2036,,legal-instrument,2024-01-24,,https://www.wakefield.gov.uk/planning/planning-policy/wakefield-district-local-plan-adopted,E08000036,,,,,local-authority:WKF,2036-01-01,2017-01-01
local-plan,,4220103,2024-10-21,,,Warrington Local Plan 2021/22 – 2038/39,600001,,local-plan,authoritative,warrington-local-plan-2021-22-2038-39,,legal-instrument,2023-12-04,,https://www.warrington.gov.uk/LocalPlan,E06000007,,,,,local-authority:WRT,2039-01-01,2021-01-01
local-plan,,4220104,2024-10-21,,,Welwyn Hatfield Local Plan,600001,,local-plan,authoritative,welwyn-hatfield-local-plan,,legal-instrument,2023-10-12,,https://www.welhat.gov.uk/local-plan,E07000241,,,,,local-authority:WEW,2036-01-01,2016-01-01
local-plan,,4220105,2024-10-21,,,Wirral Local Plan 2021 - 2037,600001,,local-plan,authoritative,wirral-local-plan-2021-2037,,legal-instrument,,,https://www.wirral.gov.uk/planning-and-building/local-plans-and-planning-policy,E08000015,,,,,local-authority:WRL,2037-01-01,2021-01-01
local-plan,,4220106,2024-10-02,,,Woking Borough Council Local Plan 2012,600001,,local-plan,authoritative,woking-borough-council-local-plan-2012,,legal-instrument,2012-10-25,,https://www.woking2027.info/developmentplan,E07000217,,,,,local-authority:WOI,2027-01-01,2010-01-01
local-plan,,4220107,2024-10-21,,,Places for Everyone joint development plan document,600001,,local-plan,authoritative,greater-manchester-spatial-framework-superseded-by-pep,,legal-instrument,2024-03-21,,https://www.greatermanchester-ca.gov.uk/what-we-do/housing/greater-manchester-spatial-framework,E08000002,,,,,local-authority:BUR,2037-01-01,2018-01-01
local-plan,,4220108,2024-10-21,,,Burnley's Local Plan,600001,,local-plan,authoritative,burnley-s-local-plan,,legal-instrument,2018-07-31,,https://www.burnley.gov.uk/residents/planning/planning-policy/burnleys-local-plan,E07000117,,,,,local-authority:BUN,2032-01-01,2012-01-01
local-plan,,4220109,2024-10-21,,,Greater Nottingham Strategic Plan,600001,,local-plan,authoritative,greater-nottingham-strategic-plan,,legal-instrument,,,https://gnplan.inconsult.uk/gnsppa/consultationHome,E07000172,,,,,local-authority:BRT,2038-01-01,2022-01-01
local-plan,,4220110,2024-10-21,,,Broads Local Plan Review,600001,,local-plan,authoritative,broads-local-plan-review,,legal-instrument,,,https://www.broads-authority.gov.uk/planning/planning-policies/local-plan-for-the-broads/local-plan-for-the-broads-review,E26000007,,,,,national-park-authority:Q4972284,2041-01-01,2021-01-01
local-plan,,4220111,2024-10-21,,,Bristol Local Plan Review,600001,,local-plan,authoritative,bristol-local-plan-2022-2040,,legal-instrument,,,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan/local-plan-review,E06000023,,,,,local-authority:BST,2040-01-01,2022-01-01
local-plan,,4220112,2024-10-02,,,The Broxbourne Local Plan,600001,,local-plan,authoritative,broxbourne-borough-council-local-plan-2018,,legal-instrument,2020-06-23,,https://www.broxbourne.gov.uk/planning/local-plan-2018-2033/1,E07000095,,,,,local-authority:BRX,2033-01-01,2018-01-01
local-plan,,4220113,2024-10-02,,,Part 1 Local Plan: Core Strategy,600001,,local-plan,authoritative,broxtowe-borough-council-local-plan-part-1-2014,,legal-instrument,2014-09-17,,https://www.broxtowe.gov.uk/for-you/planning/planning-policy/part-1-local-plan-core-strategy/,E07000172,,,,,local-authority:BRT,2028-01-01,2014-01-01
local-plan,,4220114,2024-10-02,,,Part 2 Local Plan,600001,,local-plan,authoritative,broxtowe-borough-council-local-plan-part-2-2019,,legal-instrument,2019-08-16,,https://www.broxtowe.gov.uk/for-you/planning/planning-policy/part-2-local-plan/,E07000172,,,,,local-authority:BRT,2028-01-01,2018-01-01
local-plan,,4220115,2024-10-21,,,Bromsgrove District Plan 2011-2030,600001,,local-plan,authoritative,bromsgrove-district-plan,,legal-instrument,2017-01-25,,http://www.bromsgrove.gov.uk/council/policy-and-strategy/planning-policies.aspx,E07000234,,,,,local-authority:BRM,2030-01-01,2011-01-01
local-plan,,4220116,2024-10-21,,,Bristol Local Plan,600001,,local-plan,authoritative,bristol-development-framework-core-strategy,,legal-instrument,2011-06-21,,https://www.bristol.gov.uk/residents/planning-and-building-regulations/planning-policy-and-guidance/local-plan,E06000023,,,,,local-authority:BST,2026-01-01,2006-01-01
local-plan,,4220117,2024-10-21,,,Local Plan for the Broads,600001,,local-plan,authoritative,local-plan-for-the-broads,,legal-instrument,2019-05-17,,https://www.broads-authority.gov.uk/planning/planning-policies/local-plan-for-the-broads/current-local-plan-for-the-broads,E26000007,,,,,national-park-authority:Q4972284,2036-01-01,2015-01-01
local-plan,,4220118,2024-10-21,,,Bromsgrove District Plan Review,600001,,local-plan,authoritative,bromsgrove-district-plan-review,,legal-instrument,,,https://www.bromsgrove.gov.uk/council/policy-and-strategy/planning-policies-and-other-planning-information/bromsgrove-district-plan-review/issues-and-options-consultation.aspx,E07000234,,,,,local-authority:BRM,,
local-plan,,4220119,2024-10-21,,,New Local Plan to 2042,600001,,local-plan,authoritative,new-local-plan-to-2042,,legal-instrument,,,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Blackpool-local-plan/New-local-plan-to-2042/New-local-plan-to-2042.aspx,E06000009,,,,,local-authority:BPL,2042-01-01,2021-01-01
local-plan,,4220120,2024-10-02,,,LOCAL PLAN for Bolsover District,600001,,local-plan,authoritative,bolsover-district-council-local-plan-2022,,legal-instrument,2022-02-25,,https://www.bolsover.gov.uk/index.php?option=com_content&view=article&id=90,E07000033,,,,,local-authority:BOS,2033-01-01,2014-01-01
local-plan,,4220121,2024-12-18,,,Local Plan Full Update 2024,600001,,local-plan,authoritative,local-plan-full-update-2024,,legal-instrument,,,https://www.breckland.gov.uk/article/19942/Local-Plan-Full-Update-2024,E07000143,,,,,local-authority:BRE,2046-01-01,
local-plan,,4220122,2024-10-02,,,Blaby District Council Local Plan 2019,600001,,local-plan,authoritative,blaby-district-council-local-plan-2019,,legal-instrument,2019-02-04,,https://www.blaby.gov.uk/planning-and-building/local-plan/,E07000129,,,,,local-authority:BLA,2029-01-01,2019-01-01
local-plan,,4220123,2024-10-02,,,Braintree District Council Local Plan 2014,600001,,local-plan,authoritative,braintree-district-council-local-plan-2014,,legal-instrument,2022-07-25,,https://www.braintree.gov.uk/planning-building-control/local-plan-2033/2,E07000067,,,,,local-authority:BRA,2033-01-01,2014-01-01
local-plan,,4220124,2024-10-02,,,Bolton Metropolitan Borough Council Local Plan 2011,600001,,local-plan,authoritative,bolton-metropolitan-borough-council-local-plan-2011,,legal-instrument,2011-03-02,,https://www.bolton.gov.uk/planning-policy-strategy/core-strategy/1,E08000001,,,,,local-authority:BOL,2026-01-01,2008-01-01
local-plan,,4220125,2024-10-02,,,Brentwood Local Plan 2016-2033,600001,,local-plan,authoritative,brentwood-borough-council-local-plan-2016,,legal-instrument,2022-03-23,,https://www.brentwood.gov.uk/adopted-local-plan,E07000068,,,,,local-authority:BRW,2033-01-01,2016-01-01
local-plan,,4220126,2024-10-02,,,Breckland Local Plan 2023,600001,,local-plan,authoritative,breckland-district-council-local-plan-2023,,legal-instrument,2023-09-21,,https://www.breckland.gov.uk/local-plan/adoption,E07000143,,,,,local-authority:BRE,2043-01-01,
local-plan,,4220127,2024-10-02,,,Blackburn with Darwen Borough Council Local Plan 2021,600001,,local-plan,authoritative,blackburn-with-darwen-borough-council-local-plan-2021,,legal-instrument,2024-01-25,,https://www.blackburn.gov.uk/planning/planning-policies-strategies-and-guides/local-plan-2021-2037,E06000008,,,,,local-authority:BBD,2037-01-01,2021-01-01
local-plan,,4220128,2024-10-21,,,"The Core Strategy, Placemaking Plan and Local Plan Partial Update",600001,,local-plan,authoritative,local-plan-partial-update-removed-as-non-strategic,,legal-instrument,,,https://www.bathnes.gov.uk/core-strategy-placemaking-plan-and-local-plan-partial-update,E06000022,,,,,local-authority:BAS,2029-01-01,2011-01-01
local-plan,,4220129,2024-10-21,,,Blaby District New Local Plan,600001,,local-plan,authoritative,blaby-district-new-local-plan,,legal-instrument,,,https://www.blaby.gov.uk/planning-and-building/local-plan/new-local-plan,E07000129,,,,,local-authority:BLA,2037-01-01,2022-01-01
local-plan,,4220130,2024-10-21,,,King’s Lynn & West Norfolk Local Plan,600001,,local-plan,authoritative,borough-council-of-king-s-lynn-and-west-norfolk-local-plan-review,,legal-instrument,,,https://www.west-norfolk.gov.uk/homepage/23/current_local_plan,E07000146,,,,,local-authority:KIN,2036-01-01,2016-01-01
local-plan,,4220131,2024-10-21,,,Brighton & Hove City Plan,600001,,local-plan,authoritative,brighton-and-hove-city-plan-part-one,,legal-instrument,2016-03-24,,https://www.brighton-hove.gov.uk/planning/planning-policy/city-plan-part-one,E06000043,,,,,local-authority:BNH,,
local-plan,,4220132,2024-10-21,,,South East Lincolnshire Local Plan 2011-2036,600001,,local-plan,authoritative,south-east-lincs-local-plan,,legal-instrument,2019-03-08,,http://www.southeastlincslocalplan.org/adopted-plan,E07000136,,,,,local-authority:BOT,2036-01-01,2011-01-01
local-plan,,4220133,2024-10-21,,,Local plan,600001,,local-plan,authoritative,blackpool-borough-council-core-strategy,,legal-instrument,2016-01-20,,https://www.blackpool.gov.uk/Residents/Planning-environment-and-community/Planning/Planning-policy/Planning-policy.aspx,E06000009,,,,,local-authority:BPL,2027-01-01,2012-01-01
local-plan,,4220134,2024-10-21,,,New Local Plan 2022 - 2042,600001,,local-plan,authoritative,new-local-plan-2022-2042,,legal-instrument,,,https://www.bathnes.gov.uk/local-plan,E06000022,,,,,local-authority:BAS,2042-01-01,2022-01-01
local-plan,,4220135,2024-10-21,,,Bracknell Forest Local Plan,600001,,local-plan,authoritative,bracknell-forest-local-plan,,legal-instrument,2024-03-19,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan,E06000036,,,,,local-authority:BRC,2037-01-01,2020-01-01
local-plan,,4220136,2024-10-02,,,Greater Norwich Local Plan,600001,,local-plan,authoritative,norwich-city-council-local-plan-2018,,legal-instrument,2024-03-28,,https://www.gnlp.org.uk/,E07000148,,,,,local-authority:NOW,2038-01-01,2018-01-01
local-plan,,4220137,2024-10-02,,,Lambeth Local Plan,600001,,local-plan,authoritative,london-borough-of-lambeth-local-plan-2020,,legal-instrument,2021-09-22,,https://www.lambeth.gov.uk/planning-building-control/planning-policy-guidance/lambeth-local-plan-2021,E09000022,,,,,local-authority:LBH,2035-01-01,2020-01-01
local-plan,,4220138,2024-10-02,,,Luton Borough Council Local Plan 2011,600001,,local-plan,authoritative,luton-borough-council-local-plan-2011,,legal-instrument,2017-11-07,,https://m.luton.gov.uk/Page/Show/Environment/Planning/Regional%20and%20local%20planning/Pages/Local%20Plan%202011%20-%202031.aspx#accordion_1,E06000032,,,,,local-authority:LUT,2031-01-01,2011-01-01
local-plan,,4220139,2024-10-02,,,Elmbridge Borough Council Local Plan 2011,600001,,local-plan,authoritative,elmbridge-borough-council-local-plan-2011,,legal-instrument,2011-07-20,,https://www.elmbridge.gov.uk/planning/planning-policy-and-guidance/core-strategy,E07000207,,,,,local-authority:ELM,2026-01-01,2011-01-01
local-plan,,4220140,2024-10-02,,,City of Westminster Local Plan 2019,600001,,local-plan,authoritative,city-of-westminster-local-plan-2019,,legal-instrument,2021-04-21,,https://www.westminster.gov.uk/media/document/city-plan-2019-2040,E09000033,,,,,local-authority:WSM,2040-01-01,2019-01-01
local-plan,,4220141,2024-10-02,,,Amber Valley Borough Council Local Plan 2022-2040,600001,,local-plan,authoritative,amber-valley-borough-council-local-plan-2022,,legal-instrument,,,https://www.ambervalley.gov.uk/planning/planning-policy/local-plan/,E07000032,,,,,local-authority:AMB,2040-01-01,2022-01-01
local-plan,,4220142,2024-10-02,,,Chelmsford Local Plan,600001,,local-plan,authoritative,chelmsford-city-council-local-plan-2013,,legal-instrument,2020-05-27,,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-local-plan/adopted-local-plan/,E07000070,,,,,local-authority:CHL,2036-01-01,2013-01-01
local-plan,,4220143,2024-10-02,,,City of London Local Plan 2015,600001,,local-plan,authoritative,city-of-london-corporation-local-plan-2015,,legal-instrument,2015-01-15,,https://www.cityoflondon.gov.uk/assets/Services-Environment/planning-local-plan-adopted-2015.pdf,E09000001,,,,,local-authority:LND,2026-01-01,2015-01-01
local-plan,,4220144,2024-10-21,,,Crawley Borough Local Plan 2023 - 2040,600001,,local-plan,authoritative,crawley-borough-local-plan-2023-2040,,legal-instrument,,,https://crawley.gov.uk/planning/planning-policy/local-plan/local-plan-review,E07000226,,,,,local-authority:CRW,2040-01-01,2023-01-01
local-plan,,4220145,2024-10-21,,,Westminster City Plan (NPPF Revision) superseded,600001,,local-plan,authoritative,westminster-city-plan-nppf-revision-superseded,,legal-instrument,2013-11-13,,https://www.westminster.gov.uk/media/document/core-020---adopted-westminster-city-plan-2016,E09000033,,,,,local-authority:WSM,2036-01-01,2016-01-01
local-plan,,4220146,2024-10-21,,,Horsham District Planning Framework,600001,,local-plan,authoritative,horsham-district-local-plan,,legal-instrument,,,https://www.horsham.gov.uk/planning/local-plan,E07000227,,,,,local-authority:HOR,2015-01-01,2011-01-01
local-plan,,4220147,2024-10-21,,,Elmbridge New Local Plan,600001,,local-plan,authoritative,elmbridge-new-local-plan,,legal-instrument,,,https://www.elmbridge.gov.uk/shaping-elmbridge/shaping-elmbridge-draft-local-plan,E07000207,,,,,local-authority:ELM,2037-01-01,2022-01-01
local-plan,,4220148,2024-10-21,,,County Durham Plan,600001,,local-plan,authoritative,county-durham-plan,,legal-instrument,2020-10-21,,https://www.durham.gov.uk/article/7440/What-is-the-County-Durham-Plan-,E06000047,,,,,local-authority:DUR,2035-01-01,
local-plan,,4220149,2024-10-21,,,City of York Local Plan 2017-2033,600001,,local-plan,authoritative,city-of-york-local-plan,,legal-instrument,2025-02-27,,https://www.york.gov.uk/planning-policy/adopted-local-plan,E06000014,,,,,local-authority:YOR,2033-01-01,2017-01-01
local-plan,,4220150,2024-10-21,,,City Plan 2040,600001,,local-plan,authoritative,city-plan-2040,,legal-instrument,,,https://www.cityoflondon.gov.uk/services/planning/planning-policy/city-plan-2040,E09000001,,,,,local-authority:LND,2040-01-01,2026-01-01
local-plan,,4220151,2024-10-21,,,Westminster City Plan Partial Review,600001,,local-plan,authoritative,westminster-city-plan-partial-review,,legal-instrument,,,https://www.westminster.gov.uk/planning-building-and-environmental-regulations/planning-policy/emerging-policies-and-consultations,E09000033,,,,,local-authority:WSM,2040-01-01,2022-01-01
