dataset,end-date,entity,entry-date,geojson,geometry,name,organisation-entity,point,prefix,quality,reference,start-date,typology,document-url,documentation-url,event-date,local-plan,local-plan-event,notes,organisation,predicted-earliest-date,predicted-latest-date
local-plan-timetable,,4230123,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-reg-18-public-consultation-start,,timetable,,,2018-11-20,london-borough-of-islington-local-plan-2020,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230124,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-reg-19-public-consultation-start,,timetable,,,2019-09-05,london-borough-of-islington-local-plan-2020,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230125,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-reg-19-public-consultation-end,,timetable,,,2019-10-18,london-borough-of-islington-local-plan-2020,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230126,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-submit-plan-for-examination,,timetable,,,2020-02-01,london-borough-of-islington-local-plan-2020,submit-plan-for-examination,,,,
local-plan-timetable,,4230127,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-planning-inspectorate-examination-start,,timetable,,,2021-09-01,london-borough-of-islington-local-plan-2020,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230128,2024-11-11,,,,181,,local-plan-timetable,some,london-borough-of-islington-local-plan-2020-planning-inspectorate-examination-end,,timetable,,,2021-10-01,london-borough-of-islington-local-plan-2020,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230129,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-reg-18-draft-local-plan-published,,timetable,,,2021-01-15,london-borough-of-lewisham-local-plan-2023,reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230130,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-reg-18-public-consultation-start,,timetable,,,2021-01-15,london-borough-of-lewisham-local-plan-2023,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230131,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-reg-18-public-consultation-end,,timetable,,,2021-04-11,london-borough-of-lewisham-local-plan-2023,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230132,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-reg-19-public-consultation-start,,timetable,,,2023-03-01,london-borough-of-lewisham-local-plan-2023,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230133,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-reg-19-public-consultation-end,,timetable,,,2023-04-25,london-borough-of-lewisham-local-plan-2023,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230134,2024-11-11,,,,198,,local-plan-timetable,some,london-borough-of-lewisham-local-plan-2023-submit-plan-for-examination,,timetable,,,2023-11-03,london-borough-of-lewisham-local-plan-2023,submit-plan-for-examination,,,,
local-plan-timetable,,4230135,2024-11-11,,,,333,,local-plan-timetable,some,tandridge-district-council-local-plan-estimated-reg-18-draft-local-plan-published,,timetable,,,2023-11-03,tandridge-district-council-local-plan,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230136,2024-11-11,,,,333,,local-plan-timetable,some,tandridge-district-council-local-plan-estimated-reg-19-publication-local-plan-published,,timetable,,,2023-11-03,tandridge-district-council-local-plan,estimated-reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230137,2024-11-11,,,,333,,local-plan-timetable,some,tandridge-district-council-local-plan-estimated-submit-plan-for-examination,,timetable,,,2023-11-03,tandridge-district-council-local-plan,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230138,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-timetable-published,,timetable,,,2023-09-01,thurrock-council-local-plan-2025,timetable-published,,,,
local-plan-timetable,,4230139,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-18-draft-local-plan-published,,timetable,,,2023-12-01,thurrock-council-local-plan-2025,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230140,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-18-public-consultation-end,,timetable,,,2023-12-01,thurrock-council-local-plan-2025,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230141,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-18-public-consultation-start,,timetable,,,2023-12-01,thurrock-council-local-plan-2025,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230142,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-19-public-consultation-start,,timetable,,,2024-09-01,thurrock-council-local-plan-2025,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230143,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-19-public-consultation-end,,timetable,,,2024-09-01,thurrock-council-local-plan-2025,estimated-reg-19-public-consultation-end,,,,
local-plan-timetable,,4230144,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-reg-19-publication-local-plan-published,,timetable,,,2024-09-01,thurrock-council-local-plan-2025,estimated-reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230145,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-submit-plan-for-examination,,timetable,,,2025-03-01,thurrock-council-local-plan-2025,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230146,2024-11-11,,,,343,,local-plan-timetable,some,thurrock-council-local-plan-2025-estimated-plan-adoption-date,,timetable,,,2026-07-01,thurrock-council-local-plan-2025,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230147,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2011-inspector-report-published,,timetable,,,2016-04-06,basingstoke-and-deane-borough-council-local-plan-2011,inspector-report-published,,,,
local-plan-timetable,,4230148,2024-11-25,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2020-reg-18-public-consultation-start,,timetable,,,2024-03-01,canterbury-city-council-local-plan-2020,reg-18-public-consultation-start,Draft Canterbury Local Plan Consultation,,,
local-plan-timetable,,4230149,2024-11-25,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2020-reg-18-public-consultation-end,,timetable,,,2024-06-03,canterbury-city-council-local-plan-2020,reg-18-public-consultation-end,Draft Canterbury Local Plan Consultation,,,
local-plan-timetable,,4230150,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-19-public-consultation-start,,timetable,,,2023-12-04,ashfield-district-council-local-plan-2023,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230151,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-19-public-consultation-end,,timetable,,,2024-01-29,ashfield-district-council-local-plan-2023,estimated-reg-19-public-consultation-end,,,,
local-plan-timetable,,4230152,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-19-publication-local-plan-published,,timetable,,,2023-11-01,ashfield-district-council-local-plan-2023,estimated-reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230153,2024-11-25,,,,158,,local-plan-timetable,some,harborough-district-council-local-plan-2020-estimated-reg-18-public-consultation-end,,timetable,,,2025-03-01,harborough-district-council-local-plan-2020,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230154,2024-11-25,,,,158,,local-plan-timetable,some,harborough-district-council-local-plan-2020-estimated-reg-18-public-consultation-start,,timetable,,,2025-01-01,harborough-district-council-local-plan-2020,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230155,2024-11-25,,,,161,,local-plan-timetable,some,hart-district-council-local-plan-2014-inspector-report-published,,timetable,,,2020-02-10,hart-district-council-local-plan-2014,inspector-report-published,,,,
local-plan-timetable,,4230156,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-19-publication-local-plan-published,,timetable,,,2022-06-15,bedford-borough-council-local-plan-2020,reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230157,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-19-public-consultation-start,,timetable,,,2022-06-15,bedford-borough-council-local-plan-2020,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230158,2024-11-25,,,,40,,local-plan-timetable,some,bedford-borough-council-local-plan-2020-reg-19-public-consultation-end,,timetable,,,2022-07-29,bedford-borough-council-local-plan-2020,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230159,2024-11-25,,,,28,,local-plan-timetable,some,amber-valley-borough-council-local-plan-2022-submit-plan-for-examination,,timetable,,,2024-07-29,amber-valley-borough-council-local-plan-2022,submit-plan-for-examination,,,,
local-plan-timetable,,4230160,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-reg-19-public-consultation-start,,timetable,,,2020-11-06,fareham-borough-council-local-plan-2021,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230161,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-reg-19-public-consultation-end,,timetable,,,2020-12-18,fareham-borough-council-local-plan-2021,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230162,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-submit-plan-for-examination,,timetable,,,2021-09-30,fareham-borough-council-local-plan-2021,submit-plan-for-examination,,,,
local-plan-timetable,,4230163,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-planning-inspectorate-examination-start,,timetable,,,2021-09-30,fareham-borough-council-local-plan-2021,planning-inspectorate-examination-start,,,,
local-plan-timetable,,4230164,2024-11-25,,,,70,,local-plan-timetable,some,cambridge-city-council-local-plan-2020-estimated-reg-19-publication-local-plan-published,,timetable,,,2026-01-01,cambridge-city-council-local-plan-2020,estimated-reg-19-publication-local-plan-published,Summer/Autumn 2026,,,
local-plan-timetable,,4230165,2024-11-25,,,,70,,local-plan-timetable,some,cambridge-city-council-local-plan-2020-estimated-reg-18-draft-local-plan-published,,timetable,,,2025-01-01,cambridge-city-council-local-plan-2020,estimated-reg-18-draft-local-plan-published,Autumn/Winter 2025,,,
local-plan-timetable,,4230166,2024-11-25,,,,70,,local-plan-timetable,some,cambridge-city-council-local-plan-2020-estimated-submit-plan-for-examination,,timetable,,,2026-12-01,cambridge-city-council-local-plan-2020,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230167,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-reg-18-public-consultation-start,,timetable,,,2019-01-01,fareham-borough-council-local-plan-2021,reg-18-public-consultation-start,6 weeks summer 2019 - Issues and Options,,,
local-plan-timetable,,4230168,2024-11-25,,,,137,,local-plan-timetable,some,fareham-borough-council-local-plan-2021-reg-18-public-consultation-end,,timetable,,,2019-01-01,fareham-borough-council-local-plan-2021,reg-18-public-consultation-end,6 weeks summer 2019 - Issues and Options,,,
local-plan-timetable,,4230169,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-reg-18-draft-local-plan-published,,timetable,,,2019-10-01,fenland-district-council-local-plan-2021,reg-18-draft-local-plan-published,Issues and Option Consultation,,,
local-plan-timetable,,4230170,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-reg-18-public-consultation-start,,timetable,,,2020-06-01,fenland-district-council-local-plan-2021,reg-18-public-consultation-start,Draft Local Plan Consultation,,,
local-plan-timetable,,4230171,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-reg-18-public-consultation-end,,timetable,,,2020-07-01,fenland-district-council-local-plan-2021,reg-18-public-consultation-end,Draft Local Plan Consultation,,,
local-plan-timetable,,4230172,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-submit-plan-for-examination,,timetable,,,2023-04-01,fenland-district-council-local-plan-2021,submit-plan-for-examination,,,,
local-plan-timetable,,4230173,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-reg-19-public-consultation-start,,timetable,,,2023-01-01,fenland-district-council-local-plan-2021,reg-19-public-consultation-start,2 Pre-submission Publication,,,
local-plan-timetable,,4230174,2024-11-25,,,,138,,local-plan-timetable,some,fenland-district-council-local-plan-2021-reg-19-public-consultation-end,,timetable,,,2023-01-01,fenland-district-council-local-plan-2021,reg-19-public-consultation-end,2 Pre-submission Publication,,,
local-plan-timetable,,4230175,2024-11-25,,,,50,,local-plan-timetable,some,barnsley-metropolitan-borough-council-local-plan-2014-reg-19-publication-local-plan-published,,timetable,,,2016-08-01,barnsley-metropolitan-borough-council-local-plan-2014,reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230176,2024-11-25,,,,50,,local-plan-timetable,some,barnsley-metropolitan-borough-council-local-plan-2014-reg-19-public-consultation-start,,timetable,,,2016-08-01,barnsley-metropolitan-borough-council-local-plan-2014,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230177,2024-11-25,,,,50,,local-plan-timetable,some,barnsley-metropolitan-borough-council-local-plan-2014-submit-plan-for-examination,,timetable,,,2016-12-20,barnsley-metropolitan-borough-council-local-plan-2014,submit-plan-for-examination,,,,
local-plan-timetable,,4230178,2024-11-25,,,,50,,local-plan-timetable,some,barnsley-metropolitan-borough-council-local-plan-2014-inspector-report-published,,timetable,,,2018-12-14,barnsley-metropolitan-borough-council-local-plan-2014,inspector-report-published,,,,
local-plan-timetable,,4230179,2024-11-25,,,,118,,local-plan-timetable,some,east-cambridgeshire-district-council-local-plan-2022-estimated-submit-plan-for-examination,,timetable,,,2013-08-29,east-cambridgeshire-district-council-local-plan-2022,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230180,2024-11-25,,,,118,,local-plan-timetable,some,east-cambridgeshire-district-council-local-plan-2022-estimated-plan-adoption-date,,timetable,,,2023-10-19,east-cambridgeshire-district-council-local-plan-2022,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230181,2024-11-25,,,,118,,local-plan-timetable,some,east-cambridgeshire-district-council-local-plan-2022-inspector-report-published,,timetable,,,2023-10-05,east-cambridgeshire-district-council-local-plan-2022,inspector-report-published,,,,
local-plan-timetable,,4230182,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-reg-18-draft-local-plan-published,,timetable,,,2019-05-01,cannock-chase-district-council-local-plan-2018,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230183,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-reg-18-public-consultation-end,,timetable,,,2019-07-01,cannock-chase-district-council-local-plan-2018,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230184,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-reg-18-public-consultation-start,,timetable,,,2019-05-01,cannock-chase-district-council-local-plan-2018,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230185,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-reg-19-publication-local-plan-published,,timetable,,,2023-01-01,cannock-chase-district-council-local-plan-2018,estimated-reg-19-publication-local-plan-published,Winter 2023/24,,,
local-plan-timetable,,4230186,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-submit-plan-for-examination,,timetable,,,2024-01-01,cannock-chase-district-council-local-plan-2018,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230187,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-estimated-plan-adoption-date,,timetable,,,2025-01-01,cannock-chase-district-council-local-plan-2018,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230188,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-19-publication-local-plan-published,,timetable,,,2023-12-01,cannock-chase-district-council-local-plan-2018,reg-19-publication-local-plan-published,,,,
local-plan-timetable,,4230189,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-19-public-consultation-start,,timetable,,,2024-02-05,cannock-chase-district-council-local-plan-2018,reg-19-public-consultation-start,,,,
local-plan-timetable,,4230190,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-19-public-consultation-end,,timetable,,,2024-03-18,cannock-chase-district-council-local-plan-2018,reg-19-public-consultation-end,,,,
local-plan-timetable,,4230191,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-18-draft-local-plan-published,,timetable,,,2019-05-01,cannock-chase-district-council-local-plan-2018,reg-18-draft-local-plan-published,Issues and Options Consultation,,,
local-plan-timetable,,4230192,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-18-public-consultation-start,,timetable,,,2019-05-13,cannock-chase-district-council-local-plan-2018,reg-18-public-consultation-start,Issues and Options Consultation,,,
local-plan-timetable,,4230193,2024-11-25,,,,72,,local-plan-timetable,some,cannock-chase-district-council-local-plan-2018-reg-18-public-consultation-end,,timetable,,,2019-07-09,cannock-chase-district-council-local-plan-2018,reg-18-public-consultation-end,Issues and Options Consultation,,,
local-plan-timetable,,4230194,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-reg-18-public-consultation-start,,timetable,,,2023-06-27,basildon-borough-council-local-plan,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230195,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-reg-18-public-consultation-end,,timetable,,,2023-09-05,basildon-borough-council-local-plan,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230196,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-estimated-reg-18-public-consultation-start,,timetable,,,2024-12-01,basildon-borough-council-local-plan,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230197,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-estimated-reg-19-public-consultation-start,,timetable,,,2025-03-01,basildon-borough-council-local-plan,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230198,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-estimated-submit-plan-for-examination,,timetable,,,2025-06-01,basildon-borough-council-local-plan,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230199,2024-11-25,,,,35,,local-plan-timetable,some,basildon-borough-council-local-plan-estimated-plan-adoption-date,,timetable,,,2026-06-01,basildon-borough-council-local-plan,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230200,2024-11-25,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2020-estimated-submit-plan-for-examination,,timetable,,,2026-02-01,canterbury-city-council-local-plan-2020,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230201,2024-11-25,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2020-estimated-plan-adoption-date,,timetable,,,2027-03-01,canterbury-city-council-local-plan-2020,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230202,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2011-planning-inspectorate-examination-end,,timetable,,,2016-04-06,basingstoke-and-deane-borough-council-local-plan-2011,planning-inspectorate-examination-end,,,,
local-plan-timetable,,4230203,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-reg-18-draft-local-plan-published,,timetable,,,2020-09-28,basingstoke-and-deane-borough-council-local-plan-2021,reg-18-draft-local-plan-published,Issues and Options,,,
local-plan-timetable,,4230204,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-reg-18-public-consultation-start,,timetable,,,2024-01-22,basingstoke-and-deane-borough-council-local-plan-2021,reg-18-public-consultation-start,Issues and Options,,,
local-plan-timetable,,4230205,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-reg-18-public-consultation-end,,timetable,,,2024-03-04,basingstoke-and-deane-borough-council-local-plan-2021,reg-18-public-consultation-end,Issues and Options,,,
local-plan-timetable,,4230206,2024-11-25,,,,75,,local-plan-timetable,some,canterbury-city-council-local-plan-2020-reg-18-draft-local-plan-published,,timetable,,,2024-03-01,canterbury-city-council-local-plan-2020,reg-18-draft-local-plan-published,Draft Canterbury Local Plan Consultation,,,
local-plan-timetable,,4230207,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-estimated-reg-19-publication-local-plan-published,,timetable,,,2024-01-01,basingstoke-and-deane-borough-council-local-plan-2021,estimated-reg-19-publication-local-plan-published,Winter 2024/2025,,,
local-plan-timetable,,4230208,2024-11-25,,,,119,,local-plan-timetable,some,east-devon-district-council-local-plan-2020-estimated-submit-plan-for-examination,,timetable,,,2025-01-01,east-devon-district-council-local-plan-2020,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230209,2024-11-25,,,,119,,local-plan-timetable,some,east-devon-district-council-local-plan-2020-estimated-plan-adoption-date,,timetable,,,2026-01-01,east-devon-district-council-local-plan-2020,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230210,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-estimated-submit-plan-for-examination,,timetable,,,2025-03-01,basingstoke-and-deane-borough-council-local-plan-2021,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230211,2024-11-25,,,,36,,local-plan-timetable,some,basingstoke-and-deane-borough-council-local-plan-2021-estimated-plan-adoption-date,,timetable,,,2025-12-01,basingstoke-and-deane-borough-council-local-plan-2021,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230212,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-18-draft-local-plan-published,,timetable,,,2021-10-01,ashfield-district-council-local-plan-2023,estimated-reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230213,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-18-public-consultation-end,,timetable,,,2021-11-16,ashfield-district-council-local-plan-2023,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230214,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-reg-18-public-consultation-start,,timetable,,,2021-10-04,ashfield-district-council-local-plan-2023,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230215,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-reg-18-public-consultation-end,,timetable,,,2024-06-01,east-hampshire-district-council-local-plan-2021,estimated-reg-18-public-consultation-end,,,,
local-plan-timetable,,4230216,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-reg-18-public-consultation-start,,timetable,,,2024-01-01,east-hampshire-district-council-local-plan-2021,estimated-reg-18-public-consultation-start,,,,
local-plan-timetable,,4230217,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-reg-19-public-consultation-start,,timetable,,,2024-07-01,east-hampshire-district-council-local-plan-2021,estimated-reg-19-public-consultation-start,,,,
local-plan-timetable,,4230218,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-reg-19-public-consultation-end,,timetable,,,2024-11-01,east-hampshire-district-council-local-plan-2021,estimated-reg-19-public-consultation-end,,,,
local-plan-timetable,,4230219,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-submit-plan-for-examination,,timetable,,,2025-12-01,east-hampshire-district-council-local-plan-2021,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230220,2024-11-25,,,,122,,local-plan-timetable,some,east-hampshire-district-council-local-plan-2021-estimated-plan-adoption-date,,timetable,,,2026-09-01,east-hampshire-district-council-local-plan-2021,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230221,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-submit-plan-for-examination,,timetable,,,2024-05-01,ashfield-district-council-local-plan-2023,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230222,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-estimated-plan-adoption-date,,timetable,,,2025-04-01,ashfield-district-council-local-plan-2023,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230223,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-18-draft-local-plan-published,,timetable,,,2021-10-01,ashfield-district-council-local-plan-2023,reg-18-draft-local-plan-published,,,,
local-plan-timetable,,4230224,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-18-public-consultation-start,,timetable,,,2021-10-04,ashfield-district-council-local-plan-2023,reg-18-public-consultation-start,,,,
local-plan-timetable,,4230225,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-18-public-consultation-end,,timetable,,,2021-11-16,ashfield-district-council-local-plan-2023,reg-18-public-consultation-end,,,,
local-plan-timetable,,4230227,2024-11-25,,,,152,,local-plan-timetable,some,great-yarmouth-borough-council-local-plan-2024-estimated-reg-18-public-consultation-start,,timetable,,,2024-03-13,great-yarmouth-borough-council-local-plan-2024,estimated-reg-18-public-consultation-start,Issues and options,,,
local-plan-timetable,,4230228,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-reg-18-draft-local-plan-published,,timetable,,,2024-07-01,castle-point-borough-council-local-plan-2023,reg-18-draft-local-plan-published,Issues & Options,,,
local-plan-timetable,,4230229,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-reg-18-public-consultation-start,,timetable,,,2024-07-22,castle-point-borough-council-local-plan-2023,reg-18-public-consultation-start,Issues & Options,,,
local-plan-timetable,,4230230,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-reg-18-public-consultation-end,,timetable,,,2024-09-16,castle-point-borough-council-local-plan-2023,reg-18-public-consultation-end,Issues & Options,,,
local-plan-timetable,,4230231,2024-11-25,,,,152,,local-plan-timetable,some,great-yarmouth-borough-council-local-plan-2024-estimated-submit-plan-for-examination,,timetable,,,2025-01-01,great-yarmouth-borough-council-local-plan-2024,estimated-submit-plan-for-examination,,,,
local-plan-timetable,,4230232,2024-11-25,,,,152,,local-plan-timetable,some,great-yarmouth-borough-council-local-plan-2024-estimated-plan-adoption-date,,timetable,,,2026-01-01,great-yarmouth-borough-council-local-plan-2024,estimated-plan-adoption-date,,,,
local-plan-timetable,,4230233,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-reg-18-public-consultation-end,,timetable,,,2024-08-01,castle-point-borough-council-local-plan-2023,estimated-reg-18-public-consultation-end,Issues & Options,,,
local-plan-timetable,,4230234,2024-11-25,,,,74,,local-plan-timetable,some,castle-point-borough-council-local-plan-2023-estimated-reg-18-public-consultation-start,,timetable,,,2024-06-01,castle-point-borough-council-local-plan-2023,estimated-reg-18-public-consultation-start,Issues & Options,,,
local-plan-timetable,,4230235,2024-11-25,,,,31,,local-plan-timetable,some,ashfield-district-council-local-plan-2023-reg-19-publication-local-plan-published,,timetable,,,2023-11-01,ashfield-district-council-local-plan-2023,reg-19-publication-local-plan-published,,,,
