prefix,resource,endpoint,entry-number,organisation,reference,entity,entry-date,start-date,end-date
local-plan,,,,government-organisation:D1342,harlow-district-council-new-local-plan,4220761,,,
local-plan,,,,government-organisation:D1342,hart-district-council-new-local-plan,4220762,,,
local-plan,,,,government-organisation:D1342,hartlepool-borough-council-new-local-plan,4220763,,,
local-plan,,,,government-organisation:D1342,hartlepool-development-corporation-new-local-plan,4220764,,,
local-plan,,,,government-organisation:D1342,hastings-borough-council-new-local-plan,4220765,,,
local-plan,,,,government-organisation:D1342,havant-borough-council-new-local-plan,4220766,,,
local-plan,,,,government-organisation:D1342,herefordshire-council-new-local-plan,4220767,,,
local-plan,,,,government-organisation:D1342,hertsmere-borough-council-new-local-plan,4220768,,,
local-plan,,,,government-organisation:D1342,high-peak-borough-council-new-local-plan,4220769,,,
local-plan,,,,government-organisation:D1342,hinckley-and-bosworth-borough-council-new-local-plan,4220770,,,
local-plan,,,,government-organisation:D1342,horsham-district-council-new-local-plan,4220771,,,
local-plan,,,,government-organisation:D1342,hull-city-council-new-local-plan,4220772,,,
local-plan,,,,government-organisation:D1342,huntingdonshire-district-council-new-local-plan,4220773,,,
local-plan,,,,government-organisation:D1342,hyndburn-borough-council-new-local-plan,4220774,,,
local-plan,,,,government-organisation:D1342,ipswich-borough-council-new-local-plan,4220775,,,
local-plan,,,,government-organisation:D1342,isle-of-wight-council-new-local-plan,4220776,,,
local-plan,,,,government-organisation:D1342,kirklees-council-new-local-plan,4220777,,,
local-plan,,,,government-organisation:D1342,knowsley-metropolitan-borough-council-new-local-plan,4220778,,,
local-plan,,,,government-organisation:D1342,lake-district-national-park-authority-new-local-plan,4220779,,,
local-plan,,,,government-organisation:D1342,lancaster-city-council-new-local-plan,4220780,,,
local-plan,,,,government-organisation:D1342,leeds-city-council-new-local-plan,4220781,,,
local-plan,,,,government-organisation:D1342,leicester-city-council-new-local-plan,4220782,,,
local-plan,,,,government-organisation:D1342,lewes-district-council-new-local-plan,4220783,,,
local-plan,,,,government-organisation:D1342,lichfield-district-council-new-local-plan,4220784,,,
local-plan,,,,government-organisation:D1342,liverpool-city-council-new-local-plan,4220785,,,
local-plan,,,,government-organisation:D1342,london-borough-of-barking-and-dagenham-new-local-plan,4220786,,,
local-plan,,,,government-organisation:D1342,london-borough-of-barnet-new-local-plan,4220787,,,
local-plan,,,,government-organisation:D1342,london-borough-of-bexley-new-local-plan,4220788,,,
local-plan,,,,government-organisation:D1342,london-borough-of-brent-new-local-plan,4220789,,,
local-plan,,,,government-organisation:D1342,london-borough-of-bromley-new-local-plan,4220790,,,
local-plan,,,,government-organisation:D1342,london-borough-of-camden-new-local-plan,4220791,,,
local-plan,,,,government-organisation:D1342,london-borough-of-croydon-new-local-plan,4220792,,,
local-plan,,,,government-organisation:D1342,london-borough-of-ealing-new-local-plan,4220793,,,
local-plan,,,,government-organisation:D1342,london-borough-of-enfield-new-local-plan,4220794,,,
local-plan,,,,government-organisation:D1342,london-borough-of-hackney-new-local-plan,4220795,,,
local-plan,,,,government-organisation:D1342,london-borough-of-hammersmith-and-fulham-new-local-plan,4220796,,,
local-plan,,,,government-organisation:D1342,london-borough-of-haringey-new-local-plan,4220797,,,
local-plan,,,,government-organisation:D1342,london-borough-of-harrow-new-local-plan,4220798,,,
local-plan,,,,government-organisation:D1342,london-borough-of-havering-new-local-plan,4220799,,,
local-plan,,,,government-organisation:D1342,london-borough-of-hillingdon-new-local-plan,4220800,,,
local-plan,,,,government-organisation:D1342,london-borough-of-hounslow-new-local-plan,4220801,,,
local-plan,,,,government-organisation:D1342,london-borough-of-islington-new-local-plan,4220802,,,
local-plan,,,,government-organisation:D1342,london-borough-of-lambeth-new-local-plan,4220803,,,
local-plan,,,,government-organisation:D1342,london-borough-of-lewisham-new-local-plan,4220804,,,
local-plan,,,,government-organisation:D1342,london-borough-of-merton-new-local-plan,4220805,,,
local-plan,,,,government-organisation:D1342,london-borough-of-newham-new-local-plan,4220806,,,
local-plan,,,,government-organisation:D1342,london-borough-of-redbridge-new-local-plan,4220807,,,
local-plan,,,,government-organisation:D1342,london-borough-of-richmond-upon-thames-new-local-plan,4220808,,,
local-plan,,,,government-organisation:D1342,london-borough-of-southwark-new-local-plan,4220809,,,
local-plan,,,,government-organisation:D1342,london-borough-of-sutton-new-local-plan,4220810,,,
local-plan,,,,government-organisation:D1342,london-borough-of-tower-hamlets-new-local-plan,4220811,,,
local-plan,,,,government-organisation:D1342,london-borough-of-waltham-forest-new-local-plan,4220812,,,
local-plan,,,,government-organisation:D1342,london-borough-of-wandsworth-new-local-plan,4220813,,,
local-plan,,,,government-organisation:D1342,luton-borough-council-new-local-plan,4220814,,,
local-plan,,,,government-organisation:D1342,maidstone-borough-council-new-local-plan,4220815,,,
local-plan,,,,government-organisation:D1342,maldon-district-council-new-local-plan,4220816,,,
local-plan,,,,government-organisation:D1342,malvern-hills-district-council-new-local-plan,4220817,,,
local-plan,,,,government-organisation:D1342,manchester-city-council-new-local-plan,4220818,,,
local-plan,,,,government-organisation:D1342,mansfield-district-council-new-local-plan,4220819,,,
local-plan,,,,government-organisation:D1342,medway-council-new-local-plan,4220820,,,
local-plan,,,,government-organisation:D1342,melton-borough-council-new-local-plan,4220821,,,
local-plan,,,,government-organisation:D1342,mid-devon-district-council-new-local-plan,4220822,,,
local-plan,,,,government-organisation:D1342,mid-suffolk-district-council-new-local-plan,4220823,,,
local-plan,,,,government-organisation:D1342,mid-sussex-district-council-new-local-plan,4220824,,,
local-plan,,,,government-organisation:D1342,middlesbrough-borough-council-new-local-plan,4220825,,,
local-plan,,,,government-organisation:D1342,middlesbrough-development-corporation-new-local-plan,4220826,,,
local-plan,,,,government-organisation:D1342,milton-keynes-city-council-new-local-plan,4220827,,,
local-plan,,,,government-organisation:D1342,mole-valley-district-council-new-local-plan,4220828,,,
local-plan,,,,government-organisation:D1342,new-forest-district-council-new-local-plan,4220829,,,
local-plan,,,,government-organisation:D1342,new-forest-national-park-authority-new-local-plan,4220830,,,
local-plan,,,,government-organisation:D1342,newark-and-sherwood-district-council-new-local-plan,4220831,,,
local-plan,,,,government-organisation:D1342,newcastle-city-council-new-local-plan,4220832,,,
local-plan,,,,government-organisation:D1342,newcastle-under-lyme-borough-council-new-local-plan,4220833,,,
local-plan,,,,government-organisation:D1342,north-devon-district-council-new-local-plan,4220834,,,
local-plan,,,,government-organisation:D1342,north-east-derbyshire-district-council-new-local-plan,4220835,,,
