reference,local-plan,plan-event,start-date,entry-date
lds-mineral-waste-plan-2013-planning-inspectorate-found-sound,lds-mineral-waste-plan-2013,planning-inspectorate-found-sound,2012-12-07,2026-01-28
lds-mineral-waste-plan-2013-reg-19-publication-local-plan-published,lds-mineral-waste-plan-2013,reg-19-publication-local-plan-published,2010-12-15,2026-01-28
lds-mineral-waste-plan-2013-submit-plan-for-examination,lds-mineral-waste-plan-2013,submit-plan-for-examination,2011-07-25,2026-01-28
lec-mineral-waste-plan-2031-plan-adopted,lec-mineral-waste-plan-2031,plan-adopted,2019-09-25,2026-01-28
lec-mineral-waste-plan-2031-planning-inspectorate-examination-end,lec-mineral-waste-plan-2031,planning-inspectorate-examination-end,2018-10-23,2026-01-28
lec-mineral-waste-plan-2031-planning-inspectorate-examination-start,lec-mineral-waste-plan-2031,planning-inspectorate-examination-start,2018-10-22,2026-01-28
lec-mineral-waste-plan-2031-planning-inspectorate-found-sound,lec-mineral-waste-plan-2031,planning-inspectorate-found-sound,2019-05-21,2026-01-28
lec-mineral-waste-plan-2031-reg-19-publication-local-plan-published,lec-mineral-waste-plan-2031,reg-19-publication-local-plan-published,2017-11-10,2026-01-28
lec-mineral-waste-plan-2031-submit-plan-for-examination,lec-mineral-waste-plan-2031,submit-plan-for-examination,2018-03-23,2026-01-28
lec-waste-plan-2021-plan-adopted,lec-waste-plan-2021,plan-adopted,2009-10-08,2026-01-28
lec-waste-plan-2021-planning-inspectorate-found-sound,lec-waste-plan-2021,planning-inspectorate-found-sound,2009-05-01,2026-01-28
lec-waste-plan-2021-submit-plan-for-examination,lec-waste-plan-2021,submit-plan-for-examination,2008-06-23,2026-01-28
lin-mineral-waste-plan-2031-plan-adopted,lin-mineral-waste-plan-2031,plan-adopted,2016-05-10,2026-01-28
lin-mineral-waste-plan-2031-planning-inspectorate-found-sound,lin-mineral-waste-plan-2031,planning-inspectorate-found-sound,2016-02-22,2026-01-28
lin-mineral-waste-plan-2031-reg-19-publication-local-plan-published,lin-mineral-waste-plan-2031,reg-19-publication-local-plan-published,2015-01-05,2026-01-28
lin-mineral-waste-plan-2031-submit-plan-for-examination,lin-mineral-waste-plan-2031,submit-plan-for-examination,2015-06-05,2026-01-28
lin-mineral-waste-plan-2031-2-plan-adopted,lin-mineral-waste-plan-2031-2,plan-adopted,2017-12-15,2026-01-28
lin-mineral-waste-plan-2031-2-planning-inspectorate-examination-end,lin-mineral-waste-plan-2031-2,planning-inspectorate-examination-end,2017-07-27,2026-01-28
lin-mineral-waste-plan-2031-2-planning-inspectorate-examination-start,lin-mineral-waste-plan-2031-2,planning-inspectorate-examination-start,2017-07-25,2026-01-28
lin-mineral-waste-plan-2031-2-planning-inspectorate-found-sound,lin-mineral-waste-plan-2031-2,planning-inspectorate-found-sound,2017-09-19,2026-01-28
lin-mineral-waste-plan-2031-2-reg-19-publication-local-plan-published,lin-mineral-waste-plan-2031-2,reg-19-publication-local-plan-published,2016-11-07,2026-01-28
lin-mineral-waste-plan-2031-2-submit-plan-for-examination,lin-mineral-waste-plan-2031-2,submit-plan-for-examination,2017-04-03,2026-01-28
mik-waste-plan-2026-plan-adopted,mik-waste-plan-2026,plan-adopted,2008-02-12,2026-01-28
mik-waste-plan-2026-planning-inspectorate-found-sound,mik-waste-plan-2026,planning-inspectorate-found-sound,2007-12-14,2026-01-28
mik-waste-plan-2026-submit-plan-for-examination,mik-waste-plan-2026,submit-plan-for-examination,2007-01-30,2026-01-28
nfk-mineral-waste-plan-2026-plan-adopted,nfk-mineral-waste-plan-2026,plan-adopted,2011-09-26,2026-01-28
nfk-mineral-waste-plan-2026-planning-inspectorate-found-sound,nfk-mineral-waste-plan-2026,planning-inspectorate-found-sound,2011-08-30,2026-01-28
nfk-mineral-waste-plan-2026-reg-19-publication-local-plan-published,nfk-mineral-waste-plan-2026,reg-19-publication-local-plan-published,2010-05-28,2026-01-28
nfk-mineral-waste-plan-2026-submit-plan-for-examination,nfk-mineral-waste-plan-2026,submit-plan-for-examination,2011-02-07,2026-01-28
nfk-mineral-waste-plan-2038-plan-adopted,nfk-mineral-waste-plan-2038,plan-adopted,2025-05-20,2026-01-28
nfk-mineral-waste-plan-2038-planning-inspectorate-examination-end,nfk-mineral-waste-plan-2038,planning-inspectorate-examination-end,2024-07-03,2026-01-28
nfk-mineral-waste-plan-2038-planning-inspectorate-examination-start,nfk-mineral-waste-plan-2038,planning-inspectorate-examination-start,2024-07-02,2026-01-28
nfk-mineral-waste-plan-2038-planning-inspectorate-found-sound,nfk-mineral-waste-plan-2038,planning-inspectorate-found-sound,2025-03-24,2026-01-28
nfk-mineral-waste-plan-2038-reg-19-publication-local-plan-published,nfk-mineral-waste-plan-2038,reg-19-publication-local-plan-published,2022-09-01,2026-01-28
nfk-mineral-waste-plan-2038-submit-plan-for-examination,nfk-mineral-waste-plan-2038,submit-plan-for-examination,2023-12-20,2026-01-28
nfk-waste-plan-2026-plan-adopted,nfk-waste-plan-2026,plan-adopted,2013-10-28,2026-01-28
nfk-waste-plan-2026-planning-inspectorate-found-sound,nfk-waste-plan-2026,planning-inspectorate-found-sound,2013-07-22,2026-01-28
nfk-waste-plan-2026-reg-19-publication-local-plan-published,nfk-waste-plan-2026,reg-19-publication-local-plan-published,2012-05-04,2026-01-28
nfk-waste-plan-2026-submit-plan-for-examination,nfk-waste-plan-2026,submit-plan-for-examination,2012-12-10,2026-01-28
nth-waste-plan-2011-plan-adopted,nth-waste-plan-2011,plan-adopted,2011-03-24,2026-01-28
nth-waste-plan-2011-planning-inspectorate-found-sound,nth-waste-plan-2011,planning-inspectorate-found-sound,2010-12-14,2026-01-28
nth-waste-plan-2011-reg-19-publication-local-plan-published,nth-waste-plan-2011,reg-19-publication-local-plan-published,2009-01-15,2026-01-28
nth-waste-plan-2011-submit-plan-for-examination,nth-waste-plan-2011,submit-plan-for-examination,2010-03-31,2026-01-28
nth-mineral-waste-plan-2010-plan-adopted,nth-mineral-waste-plan-2010,plan-adopted,2010-05-20,2026-01-28
nth-mineral-waste-plan-2010-planning-inspectorate-found-sound,nth-mineral-waste-plan-2010,planning-inspectorate-found-sound,2010-03-01,2026-01-28
nth-mineral-waste-plan-2010-reg-19-publication-local-plan-published,nth-mineral-waste-plan-2010,reg-19-publication-local-plan-published,2008-09-25,2026-01-28
nth-mineral-waste-plan-2010-submit-plan-for-examination,nth-mineral-waste-plan-2010,submit-plan-for-examination,2008-12-12,2026-01-28
nth-mineral-waste-plan-2031-plan-adopted,nth-mineral-waste-plan-2031,plan-adopted,2017-07-01,2026-01-28
nth-mineral-waste-plan-2031-planning-inspectorate-examination-end,nth-mineral-waste-plan-2031,planning-inspectorate-examination-end,2016-11-30,2026-01-28
nth-mineral-waste-plan-2031-planning-inspectorate-examination-start,nth-mineral-waste-plan-2031,planning-inspectorate-examination-start,2016-11-29,2026-01-28
nth-mineral-waste-plan-2031-planning-inspectorate-found-sound,nth-mineral-waste-plan-2031,planning-inspectorate-found-sound,2017-03-29,2026-01-28
nth-mineral-waste-plan-2031-reg-19-publication-local-plan-published,nth-mineral-waste-plan-2031,reg-19-publication-local-plan-published,2016-06-01,2026-01-28
nth-mineral-waste-plan-2031-submit-plan-for-examination,nth-mineral-waste-plan-2031,submit-plan-for-examination,2016-08-18,2026-01-28
ntt-ngm-waste-plan-2038-plan-adopted,ntt-ngm-waste-plan-2038,plan-adopted,2025-09-18,2026-01-28
ntt-ngm-waste-plan-2038-planning-inspectorate-examination-end,ntt-ngm-waste-plan-2038,planning-inspectorate-examination-end,2024-10-16,2026-01-28
ntt-ngm-waste-plan-2038-planning-inspectorate-examination-start,ntt-ngm-waste-plan-2038,planning-inspectorate-examination-start,2024-10-15,2026-01-28
ntt-ngm-waste-plan-2038-planning-inspectorate-found-sound,ntt-ngm-waste-plan-2038,planning-inspectorate-found-sound,2025-06-09,2026-01-28
ntt-ngm-waste-plan-2038-reg-19-publication-local-plan-published,ntt-ngm-waste-plan-2038,reg-19-publication-local-plan-published,2023-08-30,2026-01-28
ntt-ngm-waste-plan-2038-submit-plan-for-examination,ntt-ngm-waste-plan-2038,submit-plan-for-examination,2024-03-05,2026-01-28
ntt-ngm-waste-plan-2031-plan-adopted,ntt-ngm-waste-plan-2031,plan-adopted,2013-12-10,2026-01-28
ntt-ngm-waste-plan-2031-planning-inspectorate-found-sound,ntt-ngm-waste-plan-2031,planning-inspectorate-found-sound,2013-10-07,2026-01-28
ntt-ngm-waste-plan-2031-reg-19-publication-local-plan-published,ntt-ngm-waste-plan-2031,reg-19-publication-local-plan-published,2012-03-05,2026-01-28
ntt-ngm-waste-plan-2031-submit-plan-for-examination,ntt-ngm-waste-plan-2031,submit-plan-for-examination,2013-01-14,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-plan-adopted,nyk-yor-q72617669-mineral-waste-plan-2030,plan-adopted,2022-02-16,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-planning-inspectorate-examination-end,nyk-yor-q72617669-mineral-waste-plan-2030,planning-inspectorate-examination-end,2019-01-25,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-planning-inspectorate-examination-start,nyk-yor-q72617669-mineral-waste-plan-2030,planning-inspectorate-examination-start,2018-02-27,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-planning-inspectorate-found-sound,nyk-yor-q72617669-mineral-waste-plan-2030,planning-inspectorate-found-sound,2022-02-01,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-reg-19-publication-local-plan-published,nyk-yor-q72617669-mineral-waste-plan-2030,reg-19-publication-local-plan-published,2016-11-09,2026-01-28
nyk-yor-q72617669-mineral-waste-plan-2030-submit-plan-for-examination,nyk-yor-q72617669-mineral-waste-plan-2030,submit-plan-for-examination,2017-11-28,2026-01-28
oxf-mineral-waste-plan-2031-plan-adopted,oxf-mineral-waste-plan-2031,plan-adopted,2017-09-12,2026-01-28
oxf-mineral-waste-plan-2031-planning-inspectorate-examination-end,oxf-mineral-waste-plan-2031,planning-inspectorate-examination-end,2016-09-30,2026-01-28
oxf-mineral-waste-plan-2031-planning-inspectorate-examination-start,oxf-mineral-waste-plan-2031,planning-inspectorate-examination-start,2016-09-20,2026-01-28
oxf-mineral-waste-plan-2031-planning-inspectorate-found-sound,oxf-mineral-waste-plan-2031,planning-inspectorate-found-sound,2017-06-15,2026-01-28
oxf-mineral-waste-plan-2031-reg-19-publication-local-plan-published,oxf-mineral-waste-plan-2031,reg-19-publication-local-plan-published,2015-08-19,2026-01-28
oxf-mineral-waste-plan-2031-submit-plan-for-examination,oxf-mineral-waste-plan-2031,submit-plan-for-examination,2015-12-30,2026-01-28
ply-waste-plan-2021-plan-adopted,ply-waste-plan-2021,plan-adopted,2008-04-21,2026-01-28
ply-waste-plan-2021-planning-inspectorate-found-sound,ply-waste-plan-2021,planning-inspectorate-found-sound,2008-03-20,2026-01-28
ply-waste-plan-2021-submit-plan-for-examination,ply-waste-plan-2021,submit-plan-for-examination,2007-08-29,2026-01-28
sfk-mineral-waste-plan-2036-plan-adopted,sfk-mineral-waste-plan-2036,plan-adopted,2020-07-09,2026-01-28
sfk-mineral-waste-plan-2036-planning-inspectorate-examination-end,sfk-mineral-waste-plan-2036,planning-inspectorate-examination-end,2019-06-26,2026-01-28
sfk-mineral-waste-plan-2036-planning-inspectorate-examination-start,sfk-mineral-waste-plan-2036,planning-inspectorate-examination-start,2019-06-19,2026-01-28
sfk-mineral-waste-plan-2036-planning-inspectorate-found-sound,sfk-mineral-waste-plan-2036,planning-inspectorate-found-sound,2020-03-09,2026-01-28
sfk-mineral-waste-plan-2036-reg-19-publication-local-plan-published,sfk-mineral-waste-plan-2036,reg-19-publication-local-plan-published,2018-06-11,2026-01-28
sfk-mineral-waste-plan-2036-submit-plan-for-examination,sfk-mineral-waste-plan-2036,submit-plan-for-examination,2018-12-21,2026-01-28
sfk-waste-plan-2026-plan-adopted,sfk-waste-plan-2026,plan-adopted,2011-03-17,2026-01-28
sfk-waste-plan-2026-planning-inspectorate-found-sound,sfk-waste-plan-2026,planning-inspectorate-found-sound,2010-12-08,2026-01-28
sfk-waste-plan-2026-reg-19-publication-local-plan-published,sfk-waste-plan-2026,reg-19-publication-local-plan-published,2010-01-18,2026-01-28
sfk-waste-plan-2026-submit-plan-for-examination,sfk-waste-plan-2026,submit-plan-for-examination,2010-03-19,2026-01-28
sft-wrl-liv-shn-kwl-hal-waste-plan-2027-plan-adopted,sft-wrl-liv-shn-kwl-hal-waste-plan-2027,plan-adopted,2013-07-01,2026-01-28
sft-wrl-liv-shn-kwl-hal-waste-plan-2027-planning-inspectorate-found-sound,sft-wrl-liv-shn-kwl-hal-waste-plan-2027,planning-inspectorate-found-sound,2013-03-04,2026-01-28
sft-wrl-liv-shn-kwl-hal-waste-plan-2027-reg-19-publication-local-plan-published,sft-wrl-liv-shn-kwl-hal-waste-plan-2027,reg-19-publication-local-plan-published,2011-11-22,2026-01-28
sft-wrl-liv-shn-kwl-hal-waste-plan-2027-submit-plan-for-examination,sft-wrl-liv-shn-kwl-hal-waste-plan-2027,submit-plan-for-examination,2012-02-17,2026-01-28
som-waste-plan-2028-plan-adopted,som-waste-plan-2028,plan-adopted,2013-02-20,2026-01-28
som-waste-plan-2028-planning-inspectorate-found-sound,som-waste-plan-2028,planning-inspectorate-found-sound,2013-01-09,2026-01-28
som-waste-plan-2028-reg-19-publication-local-plan-published,som-waste-plan-2028,reg-19-publication-local-plan-published,2011-10-31,2026-01-28
som-waste-plan-2028-submit-plan-for-examination,som-waste-plan-2028,submit-plan-for-examination,2012-03-14,2026-01-28
sry-waste-plan-2026-plan-adopted,sry-waste-plan-2026,plan-adopted,2008-05-06,2026-01-28
sry-waste-plan-2026-planning-inspectorate-found-sound,sry-waste-plan-2026,planning-inspectorate-found-sound,2007-12-20,2026-01-28
sry-waste-plan-2026-submit-plan-for-examination,sry-waste-plan-2026,submit-plan-for-examination,2006-06-30,2026-01-28
sry-waste-plan-2033-plan-adopted,sry-waste-plan-2033,plan-adopted,2020-12-01,2026-01-28
sry-waste-plan-2033-planning-inspectorate-examination-end,sry-waste-plan-2033,planning-inspectorate-examination-end,2019-09-26,2026-01-28
sry-waste-plan-2033-planning-inspectorate-examination-start,sry-waste-plan-2033,planning-inspectorate-examination-start,2019-09-17,2026-01-28
sry-waste-plan-2033-planning-inspectorate-found-sound,sry-waste-plan-2033,planning-inspectorate-found-sound,2020-05-11,2026-01-28
sry-waste-plan-2033-reg-19-publication-local-plan-published,sry-waste-plan-2033,reg-19-publication-local-plan-published,2019-01-14,2026-01-28
sry-waste-plan-2033-submit-plan-for-examination,sry-waste-plan-2033,submit-plan-for-examination,2019-04-12,2026-01-28
sts-ste-waste-plan-2026-plan-adopted,sts-ste-waste-plan-2026,plan-adopted,2013-03-22,2026-01-28
sts-ste-waste-plan-2026-planning-inspectorate-found-sound,sts-ste-waste-plan-2026,planning-inspectorate-found-sound,2013-02-04,2026-01-28
sts-ste-waste-plan-2026-reg-19-publication-local-plan-published,sts-ste-waste-plan-2026,reg-19-publication-local-plan-published,2011-09-23,2026-01-28
sts-ste-waste-plan-2026-submit-plan-for-examination,sts-ste-waste-plan-2026,submit-plan-for-examination,2012-01-20,2026-01-28
war-waste-plan-2028-plan-adopted,war-waste-plan-2028,plan-adopted,2013-07-09,2026-01-28
war-waste-plan-2028-planning-inspectorate-found-sound,war-waste-plan-2028,planning-inspectorate-found-sound,2013-06-12,2026-01-28
war-waste-plan-2028-reg-19-publication-local-plan-published,war-waste-plan-2028,reg-19-publication-local-plan-published,2012-03-30,2026-01-28
war-waste-plan-2028-submit-plan-for-examination,war-waste-plan-2028,submit-plan-for-examination,2012-10-19,2026-01-28
wbk-mineral-waste-plan-2037-plan-adopted,wbk-mineral-waste-plan-2037,plan-adopted,2022-12-01,2026-01-28
wbk-mineral-waste-plan-2037-planning-inspectorate-examination-end,wbk-mineral-waste-plan-2037,planning-inspectorate-examination-end,2022-02-03,2026-01-28
wbk-mineral-waste-plan-2037-planning-inspectorate-examination-start,wbk-mineral-waste-plan-2037,planning-inspectorate-examination-start,2022-02-01,2026-01-28
wbk-mineral-waste-plan-2037-planning-inspectorate-found-sound,wbk-mineral-waste-plan-2037,planning-inspectorate-found-sound,2022-10-01,2026-01-28
wbk-mineral-waste-plan-2037-reg-19-publication-local-plan-published,wbk-mineral-waste-plan-2037,reg-19-publication-local-plan-published,2021-01-04,2026-01-28
wbk-mineral-waste-plan-2037-submit-plan-for-examination,wbk-mineral-waste-plan-2037,submit-plan-for-examination,2021-07-29,2026-01-28
wil-swd-waste-plan-2026-plan-adopted,wil-swd-waste-plan-2026,plan-adopted,2009-06-01,2026-01-28
wil-swd-waste-plan-2026-planning-inspectorate-found-sound,wil-swd-waste-plan-2026,planning-inspectorate-found-sound,2009-04-14,2026-01-28
wil-swd-waste-plan-2026-submit-plan-for-examination,wil-swd-waste-plan-2026,submit-plan-for-examination,2008-03-28,2026-01-28
wil-swd-waste-plan-2026-2-plan-adopted,wil-swd-waste-plan-2026-2,plan-adopted,2009-09-01,2026-01-28
wil-swd-waste-plan-2026-2-planning-inspectorate-found-sound,wil-swd-waste-plan-2026-2,planning-inspectorate-found-sound,2009-05-26,2026-01-28
wil-swd-waste-plan-2026-2-submit-plan-for-examination,wil-swd-waste-plan-2026-2,submit-plan-for-examination,2008-07-29,2026-01-28
wil-swd-waste-plan-2026-3-plan-adopted,wil-swd-waste-plan-2026-3,plan-adopted,2013-02-26,2026-01-28
wil-swd-waste-plan-2026-3-planning-inspectorate-found-sound,wil-swd-waste-plan-2026-3,planning-inspectorate-found-sound,2012-11-06,2026-01-28
wil-swd-waste-plan-2026-3-reg-19-publication-local-plan-published,wil-swd-waste-plan-2026-3,reg-19-publication-local-plan-published,2011-06-08,2026-01-28
wil-swd-waste-plan-2026-3-submit-plan-for-examination,wil-swd-waste-plan-2026-3,submit-plan-for-examination,2012-02-14,2026-01-28
wkf-waste-plan-2026-plan-adopted,wkf-waste-plan-2026,plan-adopted,2009-12-09,2026-01-28
wkf-waste-plan-2026-planning-inspectorate-found-sound,wkf-waste-plan-2026,planning-inspectorate-found-sound,2009-10-12,2026-01-28
wkf-waste-plan-2026-reg-19-publication-local-plan-published,wkf-waste-plan-2026,reg-19-publication-local-plan-published,2009-03-05,2026-01-28
wkf-waste-plan-2026-submit-plan-for-examination,wkf-waste-plan-2026,submit-plan-for-examination,2009-04-30,2026-01-28
wor-waste-plan-2027-plan-adopted,wor-waste-plan-2027,plan-adopted,2012-11-15,2026-01-28
wor-waste-plan-2027-planning-inspectorate-found-sound,wor-waste-plan-2027,planning-inspectorate-found-sound,2012-07-20,2026-01-28
wor-waste-plan-2027-reg-19-publication-local-plan-published,wor-waste-plan-2027,reg-19-publication-local-plan-published,2011-03-22,2026-01-28
wor-waste-plan-2027-submit-plan-for-examination,wor-waste-plan-2027,submit-plan-for-examination,2011-11-28,2026-01-28
wsx-q20198711-waste-plan-2031-plan-adopted,wsx-q20198711-waste-plan-2031,plan-adopted,2014-04-11,2026-01-28
wsx-q20198711-waste-plan-2031-planning-inspectorate-found-sound,wsx-q20198711-waste-plan-2031,planning-inspectorate-found-sound,2014-02-17,2026-01-28
wsx-q20198711-waste-plan-2031-reg-19-publication-local-plan-published,wsx-q20198711-waste-plan-2031,reg-19-publication-local-plan-published,2012-11-09,2026-01-28
wsx-q20198711-waste-plan-2031-submit-plan-for-examination,wsx-q20198711-waste-plan-2031,submit-plan-for-examination,2013-03-27,2026-01-28
