reference,local-plan,plan-event,start-date,entry-date
nfk-mineral-plan-2013-plan-adopted,nfk-mineral-plan-2013,plan-adopted,2013-10-28,2026-01-29
nfk-mineral-plan-2013-planning-inspectorate-found-sound,nfk-mineral-plan-2013,planning-inspectorate-found-sound,2013-07-22,2026-01-29
nfk-mineral-plan-2013-reg-19-publication-local-plan-published,nfk-mineral-plan-2013,reg-19-publication-local-plan-published,2012-05-04,2026-01-29
nfk-mineral-plan-2013-submit-plan-for-examination,nfk-mineral-plan-2013,submit-plan-for-examination,2012-12-10,2026-01-29
nfk-mineral-waste-plan-2025-plan-adopted,nfk-mineral-waste-plan-2025,plan-adopted,2025-05-20,2026-01-29
nfk-mineral-waste-plan-2025-planning-inspectorate-examination-end,nfk-mineral-waste-plan-2025,planning-inspectorate-examination-end,2024-07-03,2026-01-29
nfk-mineral-waste-plan-2025-planning-inspectorate-examination-start,nfk-mineral-waste-plan-2025,planning-inspectorate-examination-start,2024-07-02,2026-01-29
nfk-mineral-waste-plan-2025-planning-inspectorate-found-sound,nfk-mineral-waste-plan-2025,planning-inspectorate-found-sound,2025-03-24,2026-01-29
nfk-mineral-waste-plan-2025-reg-19-publication-local-plan-published,nfk-mineral-waste-plan-2025,reg-19-publication-local-plan-published,2022-09-01,2026-01-29
nfk-mineral-waste-plan-2025-submit-plan-for-examination,nfk-mineral-waste-plan-2025,submit-plan-for-examination,2023-12-20,2026-01-29
nth-mineral-plan-2011-plan-adopted,nth-mineral-plan-2011,plan-adopted,2011-03-24,2026-01-29
nth-mineral-plan-2011-planning-inspectorate-found-sound,nth-mineral-plan-2011,planning-inspectorate-found-sound,2010-12-14,2026-01-29
nth-mineral-plan-2011-reg-19-publication-local-plan-published,nth-mineral-plan-2011,reg-19-publication-local-plan-published,2009-01-15,2026-01-29
nth-mineral-plan-2011-submit-plan-for-examination,nth-mineral-plan-2011,submit-plan-for-examination,2010-03-31,2026-01-29
nth-mineral-waste-plan-2010-plan-adopted,nth-mineral-waste-plan-2010,plan-adopted,2010-05-20,2026-01-29
nth-mineral-waste-plan-2010-planning-inspectorate-found-sound,nth-mineral-waste-plan-2010,planning-inspectorate-found-sound,2010-03-01,2026-01-29
nth-mineral-waste-plan-2010-reg-19-publication-local-plan-published,nth-mineral-waste-plan-2010,reg-19-publication-local-plan-published,2008-09-25,2026-01-29
nth-mineral-waste-plan-2010-submit-plan-for-examination,nth-mineral-waste-plan-2010,submit-plan-for-examination,2008-12-12,2026-01-29
nth-mineral-waste-plan-2017-plan-adopted,nth-mineral-waste-plan-2017,plan-adopted,2017-07-01,2026-01-29
nth-mineral-waste-plan-2017-planning-inspectorate-examination-end,nth-mineral-waste-plan-2017,planning-inspectorate-examination-end,2016-11-30,2026-01-29
nth-mineral-waste-plan-2017-planning-inspectorate-examination-start,nth-mineral-waste-plan-2017,planning-inspectorate-examination-start,2016-11-29,2026-01-29
nth-mineral-waste-plan-2017-planning-inspectorate-found-sound,nth-mineral-waste-plan-2017,planning-inspectorate-found-sound,2017-03-29,2026-01-29
nth-mineral-waste-plan-2017-reg-19-publication-local-plan-published,nth-mineral-waste-plan-2017,reg-19-publication-local-plan-published,2016-06-01,2026-01-29
nth-mineral-waste-plan-2017-submit-plan-for-examination,nth-mineral-waste-plan-2017,submit-plan-for-examination,2016-08-18,2026-01-29
ntt-mineral-plan-2021-plan-adopted,ntt-mineral-plan-2021,plan-adopted,2021-03-25,2026-01-29
ntt-mineral-plan-2021-planning-inspectorate-examination-end,ntt-mineral-plan-2021,planning-inspectorate-examination-end,2020-10-29,2026-01-29
ntt-mineral-plan-2021-planning-inspectorate-examination-start,ntt-mineral-plan-2021,planning-inspectorate-examination-start,2020-10-26,2026-01-29
ntt-mineral-plan-2021-reg-19-publication-local-plan-published,ntt-mineral-plan-2021,reg-19-publication-local-plan-published,2019-08-30,2026-01-29
ntt-mineral-plan-2021-submit-plan-for-examination,ntt-mineral-plan-2021,submit-plan-for-examination,2020-02-06,2026-01-29
ntt-mineral-plan-2036-plan-withdrawn,ntt-mineral-plan-2036,plan-withdrawn,2017-05-25,2026-01-29
ntt-mineral-plan-2036-planning-inspectorate-examination-start,ntt-mineral-plan-2036,planning-inspectorate-examination-start,2017-06-27,2026-01-29
ntt-mineral-plan-2036-planning-inspectorate-found-sound,ntt-mineral-plan-2036,planning-inspectorate-found-sound,2021-03-10,2026-01-29
ntt-mineral-plan-2036-reg-19-publication-local-plan-published,ntt-mineral-plan-2036,reg-19-publication-local-plan-published,2019-08-30,2026-01-29
ntt-mineral-plan-2036-submit-plan-for-examination,ntt-mineral-plan-2036,submit-plan-for-examination,2020-02-06,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-plan-adopted,nyk-yor-q72617669-mineral-waste-plan-2022,plan-adopted,2022-02-16,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-planning-inspectorate-examination-end,nyk-yor-q72617669-mineral-waste-plan-2022,planning-inspectorate-examination-end,2019-01-25,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-planning-inspectorate-examination-start,nyk-yor-q72617669-mineral-waste-plan-2022,planning-inspectorate-examination-start,2018-02-27,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-planning-inspectorate-found-sound,nyk-yor-q72617669-mineral-waste-plan-2022,planning-inspectorate-found-sound,2022-02-01,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-reg-19-publication-local-plan-published,nyk-yor-q72617669-mineral-waste-plan-2022,reg-19-publication-local-plan-published,2016-11-09,2026-01-29
nyk-yor-q72617669-mineral-waste-plan-2022-submit-plan-for-examination,nyk-yor-q72617669-mineral-waste-plan-2022,submit-plan-for-examination,2017-11-28,2026-01-29
oxf-mineral-waste-plan-2017-plan-adopted,oxf-mineral-waste-plan-2017,plan-adopted,2017-09-12,2026-01-29
oxf-mineral-waste-plan-2017-planning-inspectorate-examination-end,oxf-mineral-waste-plan-2017,planning-inspectorate-examination-end,2016-09-30,2026-01-29
oxf-mineral-waste-plan-2017-planning-inspectorate-examination-start,oxf-mineral-waste-plan-2017,planning-inspectorate-examination-start,2016-09-20,2026-01-29
oxf-mineral-waste-plan-2017-planning-inspectorate-found-sound,oxf-mineral-waste-plan-2017,planning-inspectorate-found-sound,2017-06-15,2026-01-29
oxf-mineral-waste-plan-2017-reg-19-publication-local-plan-published,oxf-mineral-waste-plan-2017,reg-19-publication-local-plan-published,2015-08-19,2026-01-29
oxf-mineral-waste-plan-2017-submit-plan-for-examination,oxf-mineral-waste-plan-2017,submit-plan-for-examination,2015-12-30,2026-01-29
rdb-mineral-plan-2012-plan-adopted,rdb-mineral-plan-2012,plan-adopted,2012-09-30,2026-01-29
rdb-mineral-plan-2012-planning-inspectorate-found-sound,rdb-mineral-plan-2012,planning-inspectorate-found-sound,2012-07-02,2026-01-29
rdb-mineral-plan-2012-reg-19-publication-local-plan-published,rdb-mineral-plan-2012,reg-19-publication-local-plan-published,2011-12-05,2026-01-29
rdb-mineral-plan-2012-submit-plan-for-examination,rdb-mineral-plan-2012,submit-plan-for-examination,2012-03-19,2026-01-29
rut-mineral-plan-2010-plan-adopted,rut-mineral-plan-2010,plan-adopted,2010-10-11,2026-01-29
rut-mineral-plan-2010-planning-inspectorate-found-sound,rut-mineral-plan-2010,planning-inspectorate-found-sound,2010-06-15,2026-01-29
rut-mineral-plan-2010-reg-19-publication-local-plan-published,rut-mineral-plan-2010,reg-19-publication-local-plan-published,2009-09-03,2026-01-29
rut-mineral-plan-2010-submit-plan-for-examination,rut-mineral-plan-2010,submit-plan-for-examination,2010-01-18,2026-01-29
sfk-mineral-waste-plan-2020-plan-adopted,sfk-mineral-waste-plan-2020,plan-adopted,2020-07-09,2026-01-29
sfk-mineral-waste-plan-2020-planning-inspectorate-examination-end,sfk-mineral-waste-plan-2020,planning-inspectorate-examination-end,2019-06-26,2026-01-29
sfk-mineral-waste-plan-2020-planning-inspectorate-examination-start,sfk-mineral-waste-plan-2020,planning-inspectorate-examination-start,2019-06-19,2026-01-29
sfk-mineral-waste-plan-2020-planning-inspectorate-found-sound,sfk-mineral-waste-plan-2020,planning-inspectorate-found-sound,2020-03-09,2026-01-29
sfk-mineral-waste-plan-2020-reg-19-publication-local-plan-published,sfk-mineral-waste-plan-2020,reg-19-publication-local-plan-published,2018-06-11,2026-01-29
sfk-mineral-waste-plan-2020-submit-plan-for-examination,sfk-mineral-waste-plan-2020,submit-plan-for-examination,2018-12-21,2026-01-29
sfk-mineral-plan-2008-plan-adopted,sfk-mineral-plan-2008,plan-adopted,2008-09-25,2026-01-29
sfk-mineral-plan-2008-planning-inspectorate-found-sound,sfk-mineral-plan-2008,planning-inspectorate-found-sound,2008-06-17,2026-01-29
sfk-mineral-plan-2008-submit-plan-for-examination,sfk-mineral-plan-2008,submit-plan-for-examination,2007-10-22,2026-01-29
sfk-mineral-plan-2009-plan-adopted,sfk-mineral-plan-2009,plan-adopted,2009-09-24,2026-01-29
sfk-mineral-plan-2009-planning-inspectorate-found-sound,sfk-mineral-plan-2009,planning-inspectorate-found-sound,2009-06-03,2026-01-29
sfk-mineral-plan-2009-submit-plan-for-examination,sfk-mineral-plan-2009,submit-plan-for-examination,2008-08-01,2026-01-29
som-mineral-plan-2015-plan-adopted,som-mineral-plan-2015,plan-adopted,2015-02-18,2026-01-29
som-mineral-plan-2015-planning-inspectorate-found-sound,som-mineral-plan-2015,planning-inspectorate-found-sound,2015-01-22,2026-01-29
som-mineral-plan-2015-reg-19-publication-local-plan-published,som-mineral-plan-2015,reg-19-publication-local-plan-published,2014-03-03,2026-01-29
som-mineral-plan-2015-submit-plan-for-examination,som-mineral-plan-2015,submit-plan-for-examination,2014-06-23,2026-01-29
sry-mineral-plan-2011-plan-adopted,sry-mineral-plan-2011,plan-adopted,2011-07-19,2026-01-29
sry-mineral-plan-2011-planning-inspectorate-found-sound,sry-mineral-plan-2011,planning-inspectorate-found-sound,2011-05-23,2026-01-29
sry-mineral-plan-2011-reg-19-publication-local-plan-published,sry-mineral-plan-2011,reg-19-publication-local-plan-published,2009-11-06,2026-01-29
sry-mineral-plan-2011-submit-plan-for-examination,sry-mineral-plan-2011,submit-plan-for-examination,2010-06-15,2026-01-29
sts-mineral-plan-2017-plan-adopted,sts-mineral-plan-2017,plan-adopted,2017-02-16,2026-01-29
sts-mineral-plan-2017-planning-inspectorate-examination-end,sts-mineral-plan-2017,planning-inspectorate-examination-end,2016-04-13,2026-01-29
sts-mineral-plan-2017-planning-inspectorate-examination-start,sts-mineral-plan-2017,planning-inspectorate-examination-start,2016-03-30,2026-01-29
sts-mineral-plan-2017-planning-inspectorate-found-sound,sts-mineral-plan-2017,planning-inspectorate-found-sound,2016-11-25,2026-01-29
sts-mineral-plan-2017-reg-19-publication-local-plan-published,sts-mineral-plan-2017,reg-19-publication-local-plan-published,2015-06-10,2026-01-29
sts-mineral-plan-2017-submit-plan-for-examination,sts-mineral-plan-2017,submit-plan-for-examination,2016-01-08,2026-01-29
war-mineral-plan-2022-plan-adopted,war-mineral-plan-2022,plan-adopted,2022-07-19,2026-01-29
war-mineral-plan-2022-planning-inspectorate-examination-end,war-mineral-plan-2022,planning-inspectorate-examination-end,2020-10-21,2026-01-29
war-mineral-plan-2022-planning-inspectorate-examination-start,war-mineral-plan-2022,planning-inspectorate-examination-start,2020-10-20,2026-01-29
war-mineral-plan-2022-planning-inspectorate-found-sound,war-mineral-plan-2022,planning-inspectorate-found-sound,2022-06-29,2026-01-29
war-mineral-plan-2022-reg-19-publication-local-plan-published,war-mineral-plan-2022,reg-19-publication-local-plan-published,2016-12-09,2026-01-29
war-mineral-plan-2022-submit-plan-for-examination,war-mineral-plan-2022,submit-plan-for-examination,2019-11-29,2026-01-29
wbk-mineral-waste-plan-2022-plan-adopted,wbk-mineral-waste-plan-2022,plan-adopted,2022-12-01,2026-01-29
wbk-mineral-waste-plan-2022-planning-inspectorate-examination-end,wbk-mineral-waste-plan-2022,planning-inspectorate-examination-end,2022-02-03,2026-01-29
wbk-mineral-waste-plan-2022-planning-inspectorate-examination-start,wbk-mineral-waste-plan-2022,planning-inspectorate-examination-start,2022-02-01,2026-01-29
wbk-mineral-waste-plan-2022-planning-inspectorate-found-sound,wbk-mineral-waste-plan-2022,planning-inspectorate-found-sound,2022-10-01,2026-01-29
wbk-mineral-waste-plan-2022-reg-19-publication-local-plan-published,wbk-mineral-waste-plan-2022,reg-19-publication-local-plan-published,2021-01-04,2026-01-29
wbk-mineral-waste-plan-2022-submit-plan-for-examination,wbk-mineral-waste-plan-2022,submit-plan-for-examination,2021-07-29,2026-01-29
wil-swd-mineral-plan-2013-plan-adopted,wil-swd-mineral-plan-2013,plan-adopted,2013-05-14,2026-01-29
wil-swd-mineral-plan-2013-planning-inspectorate-found-sound,wil-swd-mineral-plan-2013,planning-inspectorate-found-sound,2013-02-05,2026-01-29
wil-swd-mineral-plan-2013-reg-19-publication-local-plan-published,wil-swd-mineral-plan-2013,reg-19-publication-local-plan-published,2012-01-27,2026-01-29
wil-swd-mineral-plan-2013-submit-plan-for-examination,wil-swd-mineral-plan-2013,submit-plan-for-examination,2012-07-20,2026-01-29
wil-swd-mineral-plan-2009-plan-adopted,wil-swd-mineral-plan-2009,plan-adopted,2009-06-01,2026-01-29
wil-swd-mineral-plan-2009-planning-inspectorate-found-sound,wil-swd-mineral-plan-2009,planning-inspectorate-found-sound,2009-03-09,2026-01-29
wil-swd-mineral-plan-2009-submit-plan-for-examination,wil-swd-mineral-plan-2009,submit-plan-for-examination,2008-03-28,2026-01-29
wil-swd-mineral-plan-2009-2-plan-adopted,wil-swd-mineral-plan-2009-2,plan-adopted,2009-09-01,2026-01-29
wil-swd-mineral-plan-2009-2-planning-inspectorate-found-sound,wil-swd-mineral-plan-2009-2,planning-inspectorate-found-sound,2009-05-26,2026-01-29
wil-swd-mineral-plan-2009-2-submit-plan-for-examination,wil-swd-mineral-plan-2009-2,submit-plan-for-examination,2008-07-29,2026-01-29
wor-mineral-plan-2022-plan-adopted,wor-mineral-plan-2022,plan-adopted,2022-07-14,2026-01-29
wor-mineral-plan-2022-planning-inspectorate-examination-end,wor-mineral-plan-2022,planning-inspectorate-examination-end,2020-12-18,2026-01-29
wor-mineral-plan-2022-planning-inspectorate-examination-start,wor-mineral-plan-2022,planning-inspectorate-examination-start,2020-11-11,2026-01-29
wor-mineral-plan-2022-planning-inspectorate-found-sound,wor-mineral-plan-2022,planning-inspectorate-found-sound,2022-05-06,2026-01-29
wor-mineral-plan-2022-reg-19-publication-local-plan-published,wor-mineral-plan-2022,reg-19-publication-local-plan-published,2019-08-19,2026-01-29
wor-mineral-plan-2022-submit-plan-for-examination,wor-mineral-plan-2022,submit-plan-for-examination,2019-12-17,2026-01-29
wsx-q20198711-mineral-plan-2018-plan-adopted,wsx-q20198711-mineral-plan-2018,plan-adopted,2018-07-20,2026-01-29
wsx-q20198711-mineral-plan-2018-planning-inspectorate-examination-end,wsx-q20198711-mineral-plan-2018,planning-inspectorate-examination-end,2017-09-28,2026-01-29
wsx-q20198711-mineral-plan-2018-planning-inspectorate-examination-start,wsx-q20198711-mineral-plan-2018,planning-inspectorate-examination-start,2017-09-19,2026-01-29
wsx-q20198711-mineral-plan-2018-planning-inspectorate-found-sound,wsx-q20198711-mineral-plan-2018,planning-inspectorate-found-sound,2018-05-30,2026-01-29
wsx-q20198711-mineral-plan-2018-reg-19-publication-local-plan-published,wsx-q20198711-mineral-plan-2018,reg-19-publication-local-plan-published,2017-01-16,2026-01-29
wsx-q20198711-mineral-plan-2018-submit-plan-for-examination,wsx-q20198711-mineral-plan-2018,submit-plan-for-examination,2017-05-26,2026-01-29
wsx-q20198711-mineral-plan-2021-plan-adopted,wsx-q20198711-mineral-plan-2021,plan-adopted,2021-03-25,2026-01-29
wsx-q20198711-mineral-plan-2021-planning-inspectorate-examination-end,wsx-q20198711-mineral-plan-2021,planning-inspectorate-examination-end,2020-08-27,2026-01-29
wsx-q20198711-mineral-plan-2021-planning-inspectorate-examination-start,wsx-q20198711-mineral-plan-2021,planning-inspectorate-examination-start,2020-08-25,2026-01-29
wsx-q20198711-mineral-plan-2021-planning-inspectorate-found-sound,wsx-q20198711-mineral-plan-2021,planning-inspectorate-found-sound,2021-02-01,2026-01-29
wsx-q20198711-mineral-plan-2021-reg-19-publication-local-plan-published,wsx-q20198711-mineral-plan-2021,reg-19-publication-local-plan-published,2020-01-06,2026-01-29
wsx-q20198711-mineral-plan-2021-submit-plan-for-examination,wsx-q20198711-mineral-plan-2021,submit-plan-for-examination,2020-04-17,2026-01-29
q27159704-mineral-plan-2013-plan-adopted,q27159704-mineral-plan-2013,plan-adopted,2013-11-20,2026-01-29
q27159704-mineral-plan-2013-planning-inspectorate-found-sound,q27159704-mineral-plan-2013,planning-inspectorate-found-sound,2013-09-12,2026-01-29
q27159704-mineral-plan-2013-reg-19-publication-local-plan-published,q27159704-mineral-plan-2013,reg-19-publication-local-plan-published,2012-10-19,2026-01-29
q27159704-mineral-plan-2013-submit-plan-for-examination,q27159704-mineral-plan-2013,submit-plan-for-examination,2013-03-15,2026-01-29
