planning-authorities,name,organisations,local-plan-event,start-date,type,planning-authorities-listed,curie-organisations,geography-codes
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,plan-adopted,2012-03-30,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,planning-inspectorate-found-sound,2012-01-13,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,reg-19-publication-local-plan-published,2011-04-11,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Barnsley Borough Council, City of Doncaster Council and Rotherham Metropolitan Borough Council",Joint waste plan,,submit-plan-for-examination,2011-07-29,W,Barnsley Borough Council;City of Doncaster Council;Rotherham Metropolitan Borough Council,local-authority:BNS;local-authority:DNC;local-authority:ROT,E60000064-E60000065-E60000066
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,plan-adopted,2014-01-30,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2013-10-04,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,reg-19-publication-local-plan-published,2011-12-05,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
"Bedford Borough Council, Luton Borough Council and Central Bedfordshire Council",Minerals & Waste Core Strategy,,submit-plan-for-examination,2012-08-10,M;W,Bedford Borough Council;Luton Borough Council;Central Bedfordshire Council,local-authority:BDF;local-authority:LUT;local-authority:CBF,E60000143-E60000145-E60000144
Buckinghamshire County Council,M&W Local Plan,,plan-adopted,2019-07-25,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,M&W Local Plan,,planning-inspectorate-examination-end,2018-09-25,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,M&W Local Plan,,planning-inspectorate-examination-start,2018-09-24,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,M&W Local Plan,,planning-inspectorate-found-sound,2019-06-05,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,M&W Local Plan,,reg-19-publication-local-plan-published,2018-03-03,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,M&W Local Plan,,submit-plan-for-examination,2018-06-01,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,Minerals & Waste Core Strategy,,plan-adopted,2012-11-22,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2012-09-03,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,Minerals & Waste Core Strategy,,reg-19-publication-local-plan-published,2011-09-05,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Buckinghamshire County Council,Minerals & Waste Core Strategy,,submit-plan-for-examination,2011-11-11,M;W,Buckinghamshire County Council,local-authority:BKM,E10000002
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,plan-adopted,2021-07-28,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,planning-inspectorate-examination-end,2020-09-17,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,planning-inspectorate-examination-start,2020-09-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,planning-inspectorate-found-sound,2021-03-25,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,reg-19-publication-local-plan-published,2019-11-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,Joint Minerals and Waste Plan,,submit-plan-for-examination,2020-03-24,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,plan-adopted,2011-07-19,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,planning-inspectorate-found-sound,2011-03-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,reg-19-publication-local-plan-published,2010-02-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Core Strategy,,submit-plan-for-examination,2010-07-29,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,plan-adopted,2012-02-22,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,planning-inspectorate-found-sound,2011-10-20,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,reg-19-publication-local-plan-published,2010-02-15,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Cambridgeshire County Council and Peterborough City Council,M&W Site Specific Proposals,,submit-plan-for-examination,2010-07-29,M;W,Cambridgeshire County Council;Peterborough City Council,local-authority:CAM;local-authority:PTE,E10000003-E60000146
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,plan-adopted,2023-01-11,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,planning-inspectorate-examination-end,2021-10-12,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,planning-inspectorate-examination-start,2021-09-28,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,planning-inspectorate-found-sound,2022-10-01,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,reg-19-publication-local-plan-published,2020-09-01,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
Central and Eastern Berkshire Authorities,Joint Minerals and Waste Plan,,submit-plan-for-examination,2021-02-01,M;W,Bracknell Forest Council;Reading Borough Council;Wokingham Borough Council;West Berkshire Council,local-authority:BRC;local-authority:RDG;local-authority:WOK;local-authority:WBK,E60000221-E60000227-E60000232-E60000230
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,plan-adopted,2017-10-17,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,planning-inspectorate-found-sound,2017-07-25,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,reg-19-publication-local-plan-published,2015-12-14,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
City of Bradford Metropolitan District Council,Waste Management Development Plan Document,,submit-plan-for-examination,2016-05-11,W,City of Bradford Metropolitan District Council,local-authority:BRD,E60000068
Cornwall Council,Minerals Safeguarding Plan,,plan-adopted,2018-12-04,M,Cornwall Council,local-authority:CON,E60000291
Cornwall Council,Minerals Safeguarding Plan,,planning-inspectorate-examination-end,2018-01-10,M,Cornwall Council,local-authority:CON,E60000291
Cornwall Council,Minerals Safeguarding Plan,,planning-inspectorate-examination-start,2018-01-10,M,Cornwall Council,local-authority:CON,E60000291
Cornwall Council,Minerals Safeguarding Plan,,planning-inspectorate-found-sound,2018-07-17,M,Cornwall Council,local-authority:CON,E60000291
Cornwall Council,Minerals Safeguarding Plan,,reg-19-publication-local-plan-published,2017-06-12,M,Cornwall Council,local-authority:CON,E60000291
Cornwall Council,Minerals Safeguarding Plan,,submit-plan-for-examination,2017-10-26,M,Cornwall Council,local-authority:CON,E60000291
Cumbria County Council,Minerals & Waste Core Strategy,,plan-adopted,2009-04-23,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste Core Strategy,,planning-inspectorate-found-sound,2009-02-03,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste Core Strategy,,submit-plan-for-examination,2008-04-21,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,plan-adopted,2017-09-06,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,planning-inspectorate-examination-end,2016-12-14,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,planning-inspectorate-examination-start,2016-11-29,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,planning-inspectorate-found-sound,2017-06-29,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,reg-19-publication-local-plan-published,2016-05-23,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste LP,E10000006,submit-plan-for-examination,2016-09-08,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste site allocations,,plan-adopted,2011-01-20,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste site allocations,,planning-inspectorate-found-sound,2010-12-01,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste site allocations,,reg-19-publication-local-plan-published,2009-12-11,M;W,Cumbria County Council,local-authority:CMA,E10000006
Cumbria County Council,Minerals & Waste site allocations,,submit-plan-for-examination,2010-04-30,M;W,Cumbria County Council,local-authority:CMA,E10000006
Derbyshire County Council and Derby City Council,Derbyshire & Derby Minerals Local Plan,E10000007,planning-inspectorate-examination-start,2025-05-20,M,Derbyshire County Council;Derby City Council,local-authority:DBY;local-authority:DER,E10000007-E60000073
Derbyshire County Council and Derby City Council,Derbyshire & Derby Minerals Local Plan,E10000007,reg-19-publication-local-plan-published,2023-03-01,M,Derbyshire County Council;Derby City Council,local-authority:DBY;local-authority:DER,E10000007-E60000073
Derbyshire County Council and Derby City Council,Derbyshire & Derby Minerals Local Plan,E10000007,submit-plan-for-examination,2024-11-29,M,Derbyshire County Council;Derby City Council,local-authority:DBY;local-authority:DER,E10000007-E60000073
Devon County Council,Minerals Plan,E10000008,plan-adopted,2017-02-16,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Minerals Plan,E10000008,planning-inspectorate-examination-end,2016-05-27,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Minerals Plan,E10000008,planning-inspectorate-examination-start,2016-05-24,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Minerals Plan,E10000008,planning-inspectorate-found-sound,2016-10-17,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Minerals Plan,E10000008,reg-19-publication-local-plan-published,2015-08-24,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Minerals Plan,E10000008,submit-plan-for-examination,2016-02-15,M,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Waste Local Plan,,plan-adopted,2014-12-11,W,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Waste Local Plan,,planning-inspectorate-found-sound,2014-10-06,W,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Waste Local Plan,,reg-19-publication-local-plan-published,2013-12-02,W,Devon County Council,local-authority:DEV,E10000008
Devon County Council,Waste Local Plan,,submit-plan-for-examination,2014-03-28,W,Devon County Council,local-authority:DEV,E10000008
Dorset County Council,Minerals Core Strategy,,plan-adopted,2014-05-06,M,Dorset County Council,local-authority:DOR,E10000009
Dorset County Council,Minerals Core Strategy,,planning-inspectorate-found-sound,2013-12-18,M,Dorset County Council,local-authority:DOR,E10000009
Dorset County Council,Minerals Core Strategy,,reg-19-publication-local-plan-published,2012-07-06,M,Dorset County Council,local-authority:DOR,E10000009
Dorset County Council,Minerals Core Strategy,,submit-plan-for-examination,2013-01-30,M,Dorset County Council,local-authority:DOR,E10000009
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,plan-adopted,2019-08-01,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,planning-inspectorate-examination-end,2018-10-13,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,planning-inspectorate-examination-start,2018-09-25,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,planning-inspectorate-found-sound,2019-07-01,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,reg-19-publication-local-plan-published,2017-12-01,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,submit-plan-for-examination,2018-03-28,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Minerals Sites Plan,,submit-plan-for-examination,2018-03-23,M,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,plan-adopted,2019-07-18,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,planning-inspectorate-examination-end,2018-06-29,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,planning-inspectorate-examination-start,2018-06-26,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,planning-inspectorate-found-sound,2019-01-31,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,reg-19-publication-local-plan-published,2017-12-01,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,submit-plan-for-examination,2018-03-28,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
"Dorset County Council, Bournemouth Borough Council and Borough of Poole",Waste Plan,,submit-plan-for-examination,2018-03-23,W,Dorset County Council;Bournemouth Borough Council;Borough of Poole,local-authority:DOR;local-authority:BMH;local-authority:POL,E10000009-E06000028-E06000029
Durham County Council,Minerals & Waste Plan,,plan-adopted,2024-07-17,M;W,Durham County Council,local-authority:DUR,E60000001
Durham County Council,Minerals & Waste Plan,,planning-inspectorate-examination-end,2023-10-05,M;W,Durham County Council,local-authority:DUR,E60000001
Durham County Council,Minerals & Waste Plan,,planning-inspectorate-examination-start,2023-09-26,M;W,Durham County Council,local-authority:DUR,E60000001
Durham County Council,Minerals & Waste Plan,,planning-inspectorate-found-sound,2024-05-20,M;W,Durham County Council,local-authority:DUR,E60000001
Durham County Council,Minerals & Waste Plan,,reg-19-publication-local-plan-published,2022-11-28,M;W,Durham County Council,local-authority:DUR,E60000001
Durham County Council,Minerals & Waste Plan,,submit-plan-for-examination,2023-07-03,M;W,Durham County Council,local-authority:DUR,E60000001
East London Waste Authorities,East London Joint Waste Plan Review,,reg-19-publication-local-plan-published,2025-05-19,W,London Borough of Barking and Dagenham;London Borough of Havering;London Borough of Newham;London Borough of Redbridge,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217
East London Waste Authorities,Joint Waste DPD,,plan-adopted,2012-02-27,W,London Borough of Barking and Dagenham;London Borough of Havering;London Borough of Newham;London Borough of Redbridge,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217
East London Waste Authorities,Joint Waste DPD,,planning-inspectorate-found-sound,2011-11-14,W,London Borough of Barking and Dagenham;London Borough of Havering;London Borough of Newham;London Borough of Redbridge,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217
East London Waste Authorities,Joint Waste DPD,,reg-19-publication-local-plan-published,2010-09-27,W,London Borough of Barking and Dagenham;London Borough of Havering;London Borough of Newham;London Borough of Redbridge,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217
East London Waste Authorities,Joint Waste DPD,,submit-plan-for-examination,2010-11-30,W,London Borough of Barking and Dagenham;London Borough of Havering;London Borough of Newham;London Borough of Redbridge,local-authority:BDG;local-authority:HAV;local-authority:NWM;local-authority:RDB,E60000202-E60000212-E60000197-E60000217
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,plan-adopted,2024-10-24,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,plan-adopted,2013-02-19,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,plan-adopted,2017-02-07,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-examination-end,2022-11-09,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-examination-end,2016-08-04,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-examination-start,2022-11-08,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-examination-start,2016-08-01,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-found-sound,2024-04-02,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-found-sound,2013-01-09,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,planning-inspectorate-found-sound,2016-11-07,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,reg-19-publication-local-plan-published,2021-10-29,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,reg-19-publication-local-plan-published,2012-02-27,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,reg-19-publication-local-plan-published,2015-10-28,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,submit-plan-for-examination,2022-05-13,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,submit-plan-for-examination,2012-06-01,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
"East Sussex County Council, Brighton and Hove City Council and South Downs National Park Authority",Waste and Minerals Local Plan - Revised Policies,,submit-plan-for-examination,2016-04-15,M;W,East Sussex County Council;Brighton and Hove City Council;South Downs National Park Authority,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325
Essex County Council,Minerals Plan,,plan-adopted,2014-07-01,M,Essex County Council,local-authority:ESS,E10000012
Essex County Council,Minerals Plan,,planning-inspectorate-found-sound,2014-06-23,M,Essex County Council,local-authority:ESS,E10000012
Essex County Council,Minerals Plan,,reg-19-publication-local-plan-published,2013-01-17,M,Essex County Council,local-authority:ESS,E10000012
Essex County Council,Minerals Plan,,submit-plan-for-examination,2013-07-12,M,Essex County Council,local-authority:ESS,E10000012
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,plan-adopted,2017-07-11,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,planning-inspectorate-examination-end,2016-10-07,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,planning-inspectorate-examination-start,2016-09-27,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,planning-inspectorate-found-sound,2017-06-19,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,reg-19-publication-local-plan-published,2016-03-03,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Essex County Council and Southend-on-Sea City Council,Waste Local Plan,,submit-plan-for-examination,2016-06-10,W,Essex County Council;Southend-on-Sea City Council,local-authority:ESS;local-authority:SOS,E10000012-E60000147
Gloucestershire County Council,Minerals Local Plan,,plan-adopted,2020-03-20,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Minerals Local Plan,,planning-inspectorate-examination-end,2019-06-12,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Minerals Local Plan,,planning-inspectorate-examination-start,2019-06-11,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Minerals Local Plan,,planning-inspectorate-found-sound,2019-12-22,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Minerals Local Plan,,reg-19-publication-local-plan-published,2018-05-31,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Minerals Local Plan,,submit-plan-for-examination,2018-12-21,M,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Waste Core Strategy,,plan-adopted,2012-11-21,W,Gloucestershire County Council,local-authority:GLS,E10000013
Gloucestershire County Council,Waste Core Strategy,,planning-inspectorate-found-sound,2012-08-17,W,Gloucestershire County Council,local-authority:GLS,E10000013
