reference,curie-organisations,geography-codes,name,start-year,end-year,adoption-date,documentation-url,document-url,entry-date
esx-bnh-q20198711-mineral-waste-plan-2030,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,Waste and Minerals Local Plan - Revised Policies,2019,2030,2024-10-24,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-27
esx-bnh-q20198711-mineral-waste-plan-2030,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,Waste and Minerals Local Plan - Revised Policies,2019,2030,2013-02-19,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-27
esx-bnh-q20198711-mineral-waste-plan-2030,local-authority:ESX;local-authority:BNH;national-park-authority:Q20198711,E10000011-E60000222-E60000325,Waste and Minerals Local Plan - Revised Policies,2019,2030,2017-02-07,https://www.eastsussex.gov.uk/planning/waste-minerals-plans-monitoring-reports,https://www.eastsussex.gov.uk/media/k33egb25/revised-policies-rp08-v910.pdf,2026-01-27
gls-mineral-plan-2032,local-authority:GLS,E10000013,Minerals Local Plan,2018,2032,2020-03-20,https://www.gloucestershire.gov.uk/planning-and-environment/planning-policy/minerals/,https://www.gloucester.gov.uk/media/gmkiqy4b/dp004-minerals-local-plan-2020.pdf,2026-01-27
ham-mineral-waste-plan-2007,local-authority:HAM,E10000014,Minerals & Waste CS,,,2007-07-12,,,2026-01-27
ham-new-sth-por-q20198711-mineral-waste-plan-2030,local-authority:HAM;local-authority:NEW;local-authority:STH;local-authority:POR;national-park-authority:Q20198711,E10000014-E60000249-E60000229-E60000226-E60000325,Minerals & Waste Local Plan ,2011,2030,,https://www.hants.gov.uk/landplanningandenvironment/minerals-waste-planning/hampshire-minerals-waste-plan,https://documents.hants.gov.uk/mineralsandwaste/HampshireMineralsWastePlanADOPTED.pdf,2026-01-27
hef-mineral-waste-plan-2041,local-authority:HEF,E60000113,Minerals & Waste,,2041,2024-03-08,https://www.herefordshire.gov.uk/planning-and-building-control/local-plan/minerals-and-waste-local-plan/adopted-minerals-and-waste-local-plan/,https://www.herefordshire.gov.uk/media/azjjcj21/adopted_minerals_and_waste_local_plan.pdf,2026-01-27
hrt-mineral-plan,local-authority:HRT,E10000015,Minerals Local Plan,,,,,,2026-01-27
ken-mineral-waste-plan-2030,local-authority:KEN,E10000016,Mineral Sites Plan,2013,2030,2020-09-10,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0020/205508/Kent-Mineral-Sites-Plan.pdf,2026-01-27
ken-mineral-waste-plan-2039,local-authority:KEN,E10000016,Minerals and Waste Plan,2024,2039,2025-03-13,https://www.kent.gov.uk/about-the-council/strategies-and-policies/service-specific-policies/economic-regeneration-and-planning-policies/planning-policies/minerals-and-waste-planning-policy/kent-minerals-and-waste-local-plan-kmwlp,https://www.kent.gov.uk/__data/assets/pdf_file/0019/205507/Kent-minerals-and-waste-local-plan-2024-to-2039.pdf,2026-01-27
khl-ery-mineral-plan-2033,local-authority:KHL;local-authority:ERY,E60000053-E60000052,Joint Minerals Plan,2016,2033,2019-11-21,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/joint-minerals-plan/,https://downloads.eastriding.org.uk/corporate/planning/planning-policy-and-the-local-plan/joint-minerals-plan/jmp/Joint%20Minerals%20Local%20Plan%20-%20East%20Riding%20and%20Hull%202019.pdf,2026-01-27
lan-mineral-waste-plan-2021,local-authority:LAN,E10000017,Minerals & Waste Core Strategy,,2021,2009-02-26,https://www.lancashire.gov.uk/council/planning/local-planning-policy-for-minerals-and-waste/#corestrategy,https://www.lancashire.gov.uk/media/191785/CORE.pdf,2026-01-27
lds-mineral-waste-plan-2013,local-authority:LDS,E60000071,Natural Resources & Waste LP Policies Minerals 13 & 14,,,2013-01-16,https://www.leeds.gov.uk/planning/planning-policy/adopted-local-plan/natural-resources-and-waste-local-plan,https://www.leeds.gov.uk/sites/default/files/docs/Adopted%20Policies%20Minerals%2013%20and%2014.pdf,2026-01-27
lec-mineral-waste-plan-2031,local-authority:LEC,E10000018,Minerals & Waste Plan,2015,2031,2019-09-25,https://www.leicestershire.gov.uk/environment-and-planning/planning/minerals-and-waste-local-plan/the-development-plan,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2019/10/3/Leicestershire-Minerals-and-Waste-Local-Plan-Up-to-2031-Adopted-2019.pdf,2026-01-27
lec-mineral-plan-2021,local-authority:LEC,E10000018,Minerals CS & DC Policies,2001,2021,2009-10-08,,https://www.leicestershire.gov.uk/sites/default/files/field/pdf/2016/10/4/Minerals_core_strategy_development_control_policies.pdf,2026-01-27
lin-mineral-waste-plan-2031,local-authority:LIN,E10000019,Minerals & Waste Plan,2014,2031,2016-05-10,https://www.lincolnshire.gov.uk/directory-record/61697/minerals-and-waste-local-plan-core-strategy-and-development-management-policies,https://www.lincolnshire.gov.uk/downloads/file/2361/core-strategy-and-development-management-policies,2026-01-27
lin-mineral-waste-plan-2031,local-authority:LIN,E10000019,Minerals and Waste Site Locations,2014,2031,2017-12-15,https://www.lincolnshire.gov.uk/directory-record/63740/minerals-and-waste-local-plan-site-locations,https://www.lincolnshire.gov.uk/downloads/file/2274/adopted-site-locations-pdfa,2026-01-27
mik-mineral-plan-2031,local-authority:MIK,E60000225,Minerals Plan,2013,2031,2017-07-01,https://www.milton-keynes.gov.uk/planning-and-building/planning-policy/minerals-policy,https://www.milton-keynes.gov.uk/sites/default/files/2022-01/170511%20Minerals%20Local%20Plan%20-%20Adoption%20Version.pdf,2026-01-27
nfk-mineral-waste-plan-2026,local-authority:NFK,E10000020,M&W CS & DM policies,2010,2026,2011-09-26,,https://www.north-norfolk.gov.uk/media/9022/j3-core-strategy-minerals-waste-development-management-policies-dpd-2010-2026.pdf,2026-01-27
nfk-mineral-plan-2026,local-authority:NFK,E10000020,Minerals Site Specific Allocations,2010,2026,2013-10-28,,https://www.north-norfolk.gov.uk/media/9021/j4-mineral-site-specific-allocations-development-plan-document.pdf,2026-01-27
nfk-mineral-waste-plan-2038,local-authority:NFK,E10000020,Norfolk Minerals and Waste Local Plan,2023,2038,2025-05-20,https://norfolk.oc2.uk/document/71,https://norfolk.oc2.uk/docfiles/71/Adoption%20NM&WLP%20with%20main_add%20mods%20accepted%20-%20V4.pdf,2026-01-27
nth-mineral-plan-2011,local-authority:NTH,E10000021,Locations for Minerals Development,,,2011-03-24,,,2026-01-27
nth-mineral-waste-plan-2010,local-authority:NTH,E10000021,Minerals & Waste CS,,,2010-05-20,,,2026-01-27
nth-mineral-waste-plan-2031,local-authority:NTH,E10000021,Minerals and Waste Local Plan Update,2011,2031,2017-07-01,https://www.northnorthants.gov.uk/minerals-and-waste-planning-policy/adopted-minerals-and-waste-local-plan,https://cms.northnorthants.gov.uk/media/4661/download,2026-01-27
ntt-mineral-plan-2021,local-authority:NTT,E10000024,Minerals Local Plan,,,2021-03-25,,,2026-01-27
ntt-mineral-plan-2036,local-authority:NTT,E10000024,Minerals Plan,2018,2036,,https://www.nottinghamshire.gov.uk/planning-and-environment/minerals-local-plan/adopted-minerals-local-plan,https://www.nottinghamshire.gov.uk/media/5079375/adoptedmineralslocalplancompressed.pdf,2026-01-27
nyk-yor-q72617669-mineral-waste-plan-2030,local-authority:NYK;local-authority:YOR;national-park-authority:Q72617669,E10000023-E60000056-E60000322,Mineral and Waste Joint Plan,2016,2030,2022-02-16,https://www.northyorks.gov.uk/planning-and-conservation/planning-policy/planning-policy-minerals-and-waste/minerals-and-waste-joint-plan/minerals-and-waste-joint-plan,https://www.northyorks.gov.uk/sites/default/files/fileroot/planning_migrated/minerals_and_waste_plan/LPA128%20-%20%20MWJP%20Policy%20adopted%20document%20-%20Final%20-%20accessible.pdf,2026-01-27
oxf-mineral-waste-plan-2031,local-authority:OXF,E10000025,Oxfordshire Minerals and Waste Local Plan - Part 1 Core Strategy,2014,2031,2017-09-12,https://www.oxfordshire.gov.uk/residents/environment-and-planning/planning/planning-policy/minerals-and-waste-policy/core-strategy,https://www.oxfordshire.gov.uk/sites/default/files/file/planning-minerals-strategy-2017-and-2011/adoptedmineralswastecorestrategysept2017.pdf,2026-01-27
rdb-mineral-plan-2031,local-authority:RDB,E60000217,Minerals,,2031,2012-09-30,https://www.redbridge.gov.uk/planning-and-building/planning-policies/minerals-and-waste/,https://www.redbridge.gov.uk/media/zd3lpms1/ced103-redbridge-minerals-local-plan.pdf,2026-01-27
rut-mineral-plan-2026,local-authority:RUT,E60000076,Minerals CS & DC Policies,,2026,2010-10-11,https://www.rutland.gov.uk/planning-building-control/local-plan/adopted-local-plan,https://www.rutland.gov.uk/sites/default/files/2022-10/LP14%20-%20Minerals%20Core%20Strategy%20and%20Development%20Control%20Policies%20DPD%20%28October%202010%29.pdf,2026-01-27
sfk-mineral-waste-plan-2036,local-authority:SFK,E10000029,Minerals & Waste,,2036,2020-07-09,https://www.suffolk.gov.uk/planning-waste-and-environment/suffolk-minerals-and-waste-plan/adopted-suffolk-minerals-and-waste-local-plan,https://www.suffolk.gov.uk/asset-library/imported/chapters-1-to-18-smwlp-adopted-july-2020.pdf,2026-01-27
sfk-mineral-plan-2021,local-authority:SFK,E10000029,Minerals CS,,2021,2008-09-25,,https://www.ipswich.gov.uk/sites/ipswich/files/m-files/scd34_combined.pdf,2026-01-27
